epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.990086,0.502546,0.487540,0.098264,0.962745,0.686008,0.276737,0.116709,1.054141,0.686001
1,0.680482,0.482604,0.197878,0.131502,0.800272,0.668130,0.132142,0.136800,1.024806,0.667938
2,0.583872,0.473726,0.110146,0.143189,0.753375,0.663290,0.090085,0.151213,1.013825,0.663465
3,0.549938,0.468409,0.081528,0.156590,0.732931,0.660058,0.072873,0.157261,1.005954,0.660432
4,0.533674,0.465020,0.068654,0.163805,0.726183,0.661982,0.064202,0.163368,1.007810,0.661924
5,0.524125,0.462771,0.061354,0.170757,0.714981,0.657397,0.057584,0.171595,1.002816,0.657531
6,0.517089,0.460987,0.056102,0.176584,0.712396,0.659791,0.052606,0.174435,1.001501,0.659756
7,0.511683,0.459578,0.052105,0.181542,0.704048,0.654877,0.049170,0.180656,0.994986,0.655475
8,0.507578,0.458411,0.049167,0.185397,0.702056,0.655054,0.047002,0.183485,0.994218,0.655342
9,0.504429,0.457567,0.046862,0.188705,0.701501,0.656115,0.045386,0.186087,0.995667,0.656129
10,0.501658,0.456719,0.044939,0.191706,0.700695,0.657792,0.042902,0.188379,0.996858,0.657773
