epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.423073,0.423073,1.000000,0.366124,0.366124,0.000000,0.000000,0.290555,0.365911
1,0.416184,0.416184,1.000000,0.363213,0.363213,0.000000,0.000000,0.289462,0.363432
2,0.413282,0.413282,1.000000,0.362311,0.362311,0.000000,0.000000,0.288145,0.362335
3,0.411341,0.411341,1.000000,0.362222,0.362222,0.000000,0.000000,0.286782,0.362316
4,0.409857,0.409857,1.000000,0.362469,0.362469,0.000000,0.000000,0.287200,0.362410
5,0.408746,0.408746,1.000000,0.362487,0.362487,0.000000,0.000000,0.287389,0.362637
0,0.417824,0.417824,1.000000,0.362715,0.362715,0.000000,0.000000,0.287735,0.362490
1,0.410620,0.410620,1.000000,0.362711,0.362711,0.000000,0.000000,0.289253,0.362935
2,0.408158,0.408158,1.000000,0.361508,0.361508,0.000000,0.000000,0.287476,0.361540
3,0.406464,0.406464,1.000000,0.362251,0.362251,0.000000,0.000000,0.287089,0.362344
4,0.405196,0.405196,1.000000,0.362361,0.362361,0.000000,0.000000,0.288112,0.362281
