epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.999087,0.502731,0.496355,0.102171,0.973377,0.686217,0.287160,0.119769,1.055826,0.686215
1,0.685983,0.482690,0.203293,0.129338,0.803658,0.669209,0.134449,0.134938,1.026358,0.669014
2,0.585159,0.473559,0.111600,0.142887,0.753713,0.661810,0.091903,0.146790,1.010408,0.661982
3,0.552549,0.468280,0.084269,0.153299,0.736635,0.659692,0.076944,0.154126,1.004893,0.660071
4,0.537438,0.465338,0.072100,0.163800,0.726444,0.659339,0.067105,0.166076,1.004329,0.659294
5,0.527314,0.463109,0.064205,0.174388,0.716875,0.656603,0.060272,0.177414,1.001838,0.656738
6,0.519894,0.461423,0.058471,0.183226,0.712598,0.656908,0.055690,0.181528,0.998673,0.656873
7,0.514460,0.460157,0.054303,0.188752,0.707181,0.655320,0.051861,0.187789,0.997783,0.655924
8,0.510247,0.459115,0.051132,0.192396,0.703741,0.654948,0.048793,0.192306,0.996047,0.655242
9,0.507086,0.458292,0.048794,0.195044,0.703200,0.655911,0.047289,0.192127,0.994401,0.655899
10,0.504570,0.457497,0.047073,0.197315,0.702554,0.657094,0.045461,0.195172,0.996483,0.657072
0,1.003600,0.501550,0.502050,0.090478,0.971217,0.682638,0.288579,0.106475,1.048079,0.682641
1,0.686495,0.481681,0.204814,0.120232,0.804047,0.668470,0.135577,0.129104,1.025400,0.668281
2,0.585568,0.473606,0.111962,0.138082,0.756804,0.663935,0.092869,0.140156,1.013351,0.664104
3,0.553421,0.468525,0.084896,0.147306,0.736874,0.659592,0.077282,0.148365,1.006387,0.659951
4,0.537315,0.464996,0.072319,0.157321,0.727161,0.659451,0.067709,0.159358,1.002633,0.659398
5,0.527268,0.462806,0.064462,0.167217,0.718397,0.656908,0.061489,0.167541,1.000518,0.657036
6,0.520162,0.461119,0.059043,0.175413,0.713445,0.656926,0.056518,0.175401,0.998928,0.656895
7,0.514855,0.459938,0.054916,0.181403,0.706928,0.654592,0.052336,0.179984,0.995195,0.655197
8,0.510443,0.458909,0.051533,0.185558,0.703424,0.654128,0.049296,0.186345,0.993620,0.654417
9,0.507006,0.457969,0.049037,0.188948,0.702994,0.655421,0.047573,0.186540,0.994292,0.655411
10,0.504452,0.457295,0.047157,0.191676,0.701263,0.655704,0.045559,0.188911,0.994077,0.655664
0,1.007234,0.502961,0.504273,0.095182,0.976038,0.688995,0.287043,0.111989,1.060098,0.688995
1,0.686600,0.482471,0.204129,0.124067,0.804039,0.669664,0.134375,0.129837,1.028035,0.669473
2,0.584312,0.473456,0.110856,0.137767,0.755315,0.663845,0.091470,0.141838,1.015391,0.664023
3,0.551885,0.468623,0.083261,0.146061,0.735712,0.659950,0.075762,0.145425,1.008185,0.660337
4,0.536553,0.465445,0.071107,0.155454,0.725249,0.658848,0.066400,0.158313,1.003316,0.658796
5,0.527268,0.463423,0.063845,0.167269,0.717484,0.657201,0.060282,0.169756,1.002135,0.657338
6,0.520485,0.461704,0.058781,0.175196,0.713844,0.657562,0.056282,0.174348,1.000548,0.657501
7,0.515383,0.460234,0.055148,0.181267,0.706378,0.653962,0.052415,0.181787,0.995441,0.654571
8,0.511295,0.459123,0.052172,0.185445,0.703996,0.654172,0.049824,0.184828,0.994193,0.654453
9,0.508083,0.458254,0.049829,0.188924,0.702641,0.654433,0.048208,0.188354,0.992774,0.654438
