epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.459512,0.459512,1.000000,0.611680,0.611680,0.000000,0.000000,0.822244,0.610997
1,0.434214,0.434214,1.000000,0.590087,0.590087,0.000000,0.000000,0.776355,0.590200
2,0.424538,0.424538,1.000000,0.577980,0.577980,0.000000,0.000000,0.753556,0.577567
3,0.418906,0.418906,1.000000,0.574661,0.574661,0.000000,0.000000,0.748016,0.573676
4,0.414874,0.414874,1.000000,0.568548,0.568548,0.000000,0.000000,0.737254,0.569146
5,0.412653,0.412653,1.000000,0.568798,0.568798,0.000000,0.000000,0.738001,0.568653
6,0.411844,0.411844,1.000000,0.564952,0.564952,0.000000,0.000000,0.731421,0.565394
7,0.408847,0.408847,1.000000,0.563694,0.563694,0.000000,0.000000,0.728262,0.564194
8,0.409648,0.409648,1.000000,0.561168,0.561168,0.000000,0.000000,0.725587,0.561584
9,0.406908,0.406908,1.000000,0.562522,0.562522,0.000000,0.000000,0.727562,0.562498
10,0.409185,0.409185,1.000000,0.560666,0.560666,0.000000,0.000000,0.725076,0.560853
11,0.405116,0.405116,1.000000,0.559259,0.559259,0.000000,0.000000,0.720088,0.559646
12,0.406191,0.406191,1.000000,0.557677,0.557677,0.000000,0.000000,0.719717,0.557967
13,0.404047,0.404047,1.000000,0.560813,0.560813,0.000000,0.000000,0.725771,0.560738
14,0.404560,0.404560,1.000000,0.559995,0.559995,0.000000,0.000000,0.719978,0.559681
