epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.958881,0.496895,0.461986,0.085405,0.917089,0.679942,0.237147,0.098467,1.045948,0.679942
1,0.640700,0.475714,0.164985,0.109037,0.784081,0.665316,0.118765,0.114565,1.016264,0.665131
2,0.566674,0.467229,0.099446,0.119975,0.747017,0.660240,0.086777,0.123293,1.003803,0.660415
3,0.540810,0.462271,0.078538,0.129755,0.731199,0.658202,0.072997,0.133372,0.995315,0.658563
4,0.525759,0.458792,0.066967,0.140618,0.719887,0.657502,0.062385,0.143700,0.994760,0.657447
5,0.515593,0.456557,0.059036,0.150327,0.712544,0.657277,0.055267,0.153605,0.996691,0.657421
6,0.508204,0.454645,0.053559,0.158189,0.706633,0.656183,0.050450,0.160325,0.994733,0.656124
7,0.502357,0.453027,0.049330,0.164814,0.701427,0.655138,0.046289,0.166046,0.988964,0.655714
8,0.497774,0.451583,0.046191,0.170087,0.699973,0.656003,0.043969,0.170288,0.992989,0.656272
9,0.493980,0.450176,0.043804,0.174646,0.697410,0.655352,0.042058,0.175726,0.987165,0.655355
