epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.497694,0.497694,1.000000,0.676252,0.676252,0.000000,0.000000,1.038281,0.676257
1,0.478316,0.478316,1.000000,0.666355,0.666355,0.000000,0.000000,1.021397,0.666169
2,0.471884,0.471884,1.000000,0.663158,0.663158,0.000000,0.000000,1.015040,0.663328
3,0.468133,0.468133,1.000000,0.658625,0.658625,0.000000,0.000000,1.006358,0.659008
4,0.465438,0.465438,1.000000,0.658373,0.658373,0.000000,0.000000,1.004168,0.658339
5,0.463288,0.463288,1.000000,0.655099,0.655099,0.000000,0.000000,1.000779,0.655224
6,0.461645,0.461645,1.000000,0.655862,0.655862,0.000000,0.000000,0.995493,0.655826
7,0.460225,0.460225,1.000000,0.653411,0.653411,0.000000,0.000000,0.992904,0.654015
8,0.459184,0.459184,1.000000,0.653169,0.653169,0.000000,0.000000,0.990492,0.653450
9,0.458266,0.458266,1.000000,0.655229,0.655229,0.000000,0.000000,0.990512,0.655231
10,0.457294,0.457294,1.000000,0.654766,0.654766,0.000000,0.000000,0.991370,0.654737
