epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.486501,0.486501,1.000000,0.478171,0.478171,0.000000,0.000000,0.750248,0.478742
1,0.464437,0.464437,1.000000,0.472124,0.472124,0.000000,0.000000,0.736407,0.471951
2,0.459251,0.459251,1.000000,0.469510,0.469510,0.000000,0.000000,0.737155,0.470060
3,0.456520,0.456520,1.000000,0.469385,0.469385,0.000000,0.000000,0.735584,0.469559
4,0.454668,0.454668,1.000000,0.466803,0.466803,0.000000,0.000000,0.732323,0.466903
5,0.453159,0.453159,1.000000,0.469648,0.469648,0.000000,0.000000,0.746628,0.470298
6,0.451933,0.451933,1.000000,0.467916,0.467916,0.000000,0.000000,0.737429,0.467891
7,0.451002,0.451002,1.000000,0.465411,0.465411,0.000000,0.000000,0.732268,0.465640
8,0.450163,0.450163,1.000000,0.468815,0.468815,0.000000,0.000000,0.746904,0.469545
9,0.449556,0.449556,1.000000,0.467524,0.467524,0.000000,0.000000,0.741689,0.467140
10,0.448940,0.448940,1.000000,0.465268,0.465268,0.000000,0.000000,0.730874,0.465345
11,0.448474,0.448474,1.000000,0.468546,0.468546,0.000000,0.000000,0.745230,0.467707
12,0.448111,0.448111,1.000000,0.466499,0.466499,0.000000,0.000000,0.738358,0.466015
13,0.447617,0.447617,1.000000,0.465400,0.465400,0.000000,0.000000,0.731196,0.464830
