epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.564227,0.368684,0.244429,0.093736,0.391343,0.310694,0.100811,0.111332,0.476168,0.310729
1,0.389553,0.333333,0.070275,0.119952,0.346784,0.300636,0.057686,0.122681,0.452917,0.300638
2,0.363640,0.324374,0.049083,0.130678,0.330337,0.294027,0.045388,0.135234,0.446896,0.294040
3,0.352496,0.319903,0.040741,0.139646,0.324108,0.292808,0.039124,0.141900,0.448591,0.292835
4,0.345685,0.316470,0.036519,0.143654,0.318996,0.290305,0.035864,0.143424,0.442717,0.290296
5,0.341229,0.313860,0.034210,0.145496,0.316643,0.289518,0.033905,0.145456,0.444782,0.289546
6,0.338159,0.312041,0.032648,0.147231,0.316752,0.290816,0.032421,0.147342,0.444084,0.290785
7,0.335526,0.310317,0.031511,0.148350,0.312845,0.287875,0.031212,0.148822,0.440212,0.287820
8,0.333500,0.308968,0.030664,0.149230,0.312632,0.288007,0.030781,0.149676,0.444818,0.287980
9,0.331740,0.307823,0.029896,0.150437,0.310818,0.287028,0.029738,0.152111,0.440110,0.286997
10,0.330259,0.306774,0.029357,0.151284,0.309570,0.285843,0.029659,0.150432,0.436896,0.285861
11,0.329029,0.305905,0.028904,0.152504,0.310615,0.287554,0.028827,0.154483,0.442694,0.287545
12,0.327914,0.305106,0.028509,0.153650,0.310838,0.287957,0.028601,0.154598,0.441402,0.287937
13,0.326850,0.304296,0.028192,0.154504,0.311794,0.289359,0.028044,0.154030,0.443355,0.289362
