epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.340185,0.275641,0.645446,0.148059,0.186270,0.133444,0.528260,0.153793,0.133479,0.254665
1,0.284683,0.234936,0.497465,0.158216,0.174887,0.128975,0.459115,0.152635,0.129048,0.249586
2,0.267371,0.221926,0.454453,0.159498,0.168080,0.126525,0.415550,0.156286,0.126604,0.246959
3,0.256910,0.213381,0.435282,0.161759,0.166035,0.126773,0.392626,0.161382,0.126787,0.246313
4,0.250217,0.207290,0.429268,0.171379,0.162798,0.126409,0.363883,0.178379,0.126185,0.245175
5,0.239699,0.202733,0.369656,0.195266,0.156297,0.126370,0.299272,0.194962,0.126441,0.246411
6,0.232365,0.199190,0.331753,0.208685,0.153461,0.126666,0.267950,0.205676,0.126688,0.246127
7,0.227664,0.196755,0.309088,0.215949,0.151004,0.126069,0.249350,0.208955,0.126068,0.245078
8,0.224825,0.194697,0.301279,0.220566,0.151447,0.126720,0.247270,0.212398,0.126736,0.244742
9,0.222526,0.193149,0.293775,0.225986,0.149821,0.126645,0.231764,0.219104,0.126732,0.244457
