epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.592962,0.547945,0.900338,0.147078,0.850031,0.805629,0.888046,0.176768,1.319448,0.805758
1,0.554905,0.512153,0.855037,0.170972,0.828277,0.786573,0.834077,0.193304,1.279249,0.786500
2,0.540569,0.500019,0.810997,0.185201,0.820197,0.780692,0.790086,0.205533,1.272882,0.780900
3,0.533165,0.494336,0.776584,0.194550,0.815491,0.777578,0.758257,0.212694,1.269195,0.777526
4,0.528313,0.490543,0.755394,0.199481,0.812172,0.775350,0.736451,0.215345,1.264242,0.774984
5,0.524630,0.487761,0.737387,0.204140,0.809017,0.773014,0.720060,0.220273,1.262648,0.772562
6,0.521968,0.485572,0.727914,0.205616,0.807189,0.771482,0.714158,0.219525,1.261433,0.771555
7,0.519875,0.483790,0.721695,0.205791,0.805176,0.769971,0.704109,0.220046,1.258139,0.769942
8,0.517871,0.482398,0.709453,0.208618,0.802876,0.768390,0.689711,0.223550,1.256468,0.768798
9,0.515954,0.480880,0.701492,0.210432,0.803009,0.768745,0.685281,0.223474,1.259847,0.768666
10,0.514620,0.479860,0.695201,0.212391,0.801278,0.767389,0.677782,0.225717,1.254498,0.767144
11,0.512938,0.478733,0.684091,0.217514,0.800622,0.767137,0.669705,0.227230,1.256771,0.767207
12,0.511743,0.477871,0.677440,0.218517,0.799757,0.766549,0.664160,0.228481,1.257000,0.766675
13,0.510667,0.477013,0.673076,0.218602,0.800410,0.767387,0.660465,0.226720,1.259979,0.767159
14,0.509702,0.476346,0.667118,0.219094,0.798997,0.766351,0.652926,0.228638,1.258427,0.766505
15,0.508756,0.475722,0.660677,0.220058,0.798845,0.766493,0.647039,0.228377,1.258277,0.766514
16,0.507837,0.474999,0.656763,0.220423,0.798682,0.766227,0.649116,0.229787,1.259735,0.766050
17,0.507124,0.474465,0.653171,0.220869,0.798301,0.765956,0.646898,0.227922,1.259388,0.766182
18,0.506409,0.473942,0.649345,0.221399,0.798018,0.765727,0.645820,0.228388,1.258830,0.765902
19,0.505613,0.473379,0.644692,0.222267,0.797820,0.765887,0.638657,0.230511,1.259273,0.765838
20,0.504664,0.472792,0.637437,0.223517,0.797231,0.765511,0.634404,0.231365,1.261155,0.765487
21,0.504068,0.472501,0.631348,0.226046,0.796935,0.765596,0.626768,0.233401,1.259307,0.765689
22,0.502934,0.472222,0.614247,0.230687,0.795572,0.765410,0.603252,0.240039,1.261963,0.765614
23,0.501825,0.471790,0.600704,0.234581,0.795223,0.765509,0.594289,0.241537,1.260590,0.765402
24,0.501136,0.471416,0.594392,0.236442,0.794845,0.765484,0.587220,0.243309,1.260657,0.765436
