epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.507741,0.507741,1.000000,0.469444,0.469444,0.000000,0.000000,0.447542,0.469424
1,0.491682,0.491682,1.000000,0.459342,0.459342,0.000000,0.000000,0.432762,0.459475
2,0.478089,0.478089,1.000000,0.452970,0.452970,0.000000,0.000000,0.424165,0.452957
3,0.469829,0.469829,1.000000,0.447008,0.447008,0.000000,0.000000,0.416887,0.447354
4,0.464639,0.464639,1.000000,0.443200,0.443200,0.000000,0.000000,0.410869,0.443486
5,0.461424,0.461424,1.000000,0.443174,0.443174,0.000000,0.000000,0.412876,0.443302
6,0.459671,0.459671,1.000000,0.443499,0.443499,0.000000,0.000000,0.412214,0.443569
7,0.458166,0.458166,1.000000,0.445413,0.445413,0.000000,0.000000,0.415205,0.445487
0,0.495111,0.495111,1.000000,0.444114,0.444114,0.000000,0.000000,0.411270,0.444076
1,0.467384,0.467384,1.000000,0.431667,0.431667,0.000000,0.000000,0.394451,0.431819
2,0.458232,0.458232,1.000000,0.428054,0.428054,0.000000,0.000000,0.390617,0.428080
3,0.451661,0.451661,1.000000,0.423792,0.423792,0.000000,0.000000,0.385846,0.424156
4,0.447612,0.447612,1.000000,0.420803,0.420803,0.000000,0.000000,0.380560,0.421096
5,0.443774,0.443774,1.000000,0.420718,0.420718,0.000000,0.000000,0.382456,0.420828
6,0.440953,0.440953,1.000000,0.420926,0.420926,0.000000,0.000000,0.381928,0.420981
7,0.438442,0.438442,1.000000,0.420280,0.420280,0.000000,0.000000,0.381422,0.420317
8,0.436618,0.436618,1.000000,0.420820,0.420820,0.000000,0.000000,0.383718,0.420802
9,0.434518,0.434518,1.000000,0.418876,0.418876,0.000000,0.000000,0.381273,0.418756
10,0.432889,0.432889,1.000000,0.419148,0.419148,0.000000,0.000000,0.381734,0.419047
11,0.431242,0.431242,1.000000,0.420398,0.420398,0.000000,0.000000,0.386612,0.420366
0,0.495417,0.495417,1.000000,0.444089,0.444089,0.000000,0.000000,0.412570,0.444055
1,0.466767,0.466767,1.000000,0.432307,0.432307,0.000000,0.000000,0.397894,0.432473
2,0.457848,0.457848,1.000000,0.428166,0.428166,0.000000,0.000000,0.392512,0.428183
3,0.451414,0.451414,1.000000,0.426064,0.426064,0.000000,0.000000,0.390080,0.426423
4,0.447191,0.447191,1.000000,0.423951,0.423951,0.000000,0.000000,0.386244,0.424253
5,0.443506,0.443506,1.000000,0.423029,0.423029,0.000000,0.000000,0.386445,0.423147
6,0.440923,0.440923,1.000000,0.425952,0.425952,0.000000,0.000000,0.391101,0.426014
7,0.438689,0.438689,1.000000,0.423165,0.423165,0.000000,0.000000,0.386507,0.423190
