epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.458349,0.425633,0.654321,0.136120,0.392096,0.359863,0.644654,0.172713,0.267695,0.359425
1,0.423774,0.393254,0.610400,0.158912,0.378398,0.348496,0.598028,0.178871,0.254072,0.348164
2,0.410847,0.382498,0.566979,0.171963,0.369777,0.342686,0.541801,0.191790,0.247059,0.342987
3,0.401785,0.375217,0.531346,0.177571,0.364659,0.339023,0.512716,0.191518,0.241652,0.339147
4,0.395273,0.370069,0.504078,0.181988,0.360561,0.336774,0.475745,0.196576,0.238313,0.336661
5,0.389812,0.366019,0.475871,0.188726,0.357153,0.335095,0.441159,0.204658,0.236422,0.334887
6,0.386707,0.363808,0.457976,0.189664,0.354530,0.333214,0.426325,0.201699,0.234066,0.333235
7,0.383694,0.361404,0.445811,0.190944,0.352890,0.332270,0.412409,0.203505,0.233335,0.332331
8,0.381459,0.359645,0.436285,0.194071,0.350630,0.330759,0.397425,0.207885,0.231106,0.330430
9,0.378539,0.357218,0.426404,0.196399,0.350479,0.330879,0.392005,0.203641,0.231830,0.331015
10,0.376519,0.355619,0.417992,0.197761,0.347144,0.328009,0.382692,0.207253,0.228240,0.328286
11,0.375192,0.354578,0.412280,0.198858,0.346475,0.327759,0.374315,0.206891,0.227745,0.327818
12,0.374428,0.354189,0.404773,0.199973,0.345759,0.327689,0.361401,0.207889,0.227893,0.327820
13,0.372131,0.352302,0.396584,0.199898,0.345195,0.327516,0.353578,0.205341,0.227285,0.327485
14,0.370135,0.350625,0.390207,0.199399,0.343689,0.326302,0.347732,0.206184,0.225991,0.326175
15,0.369263,0.350040,0.384447,0.199466,0.344284,0.327277,0.340122,0.204880,0.227615,0.327327
16,0.368038,0.349085,0.379052,0.199166,0.342822,0.325978,0.336873,0.203121,0.225782,0.326067
17,0.366881,0.348220,0.373231,0.199192,0.341083,0.324638,0.328910,0.207500,0.224354,0.324622
18,0.365646,0.347325,0.366411,0.199008,0.341011,0.324884,0.322550,0.206871,0.224953,0.324727
19,0.364917,0.346790,0.362548,0.198636,0.340830,0.325002,0.316558,0.203606,0.224872,0.324977
