epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.448647,0.440952,0.769485,0.134662,0.563751,0.557434,0.631702,0.144123,0.703898,0.557477
1,0.421345,0.415748,0.559668,0.148594,0.551533,0.547057,0.447578,0.156224,0.683487,0.547044
2,0.412965,0.408781,0.418363,0.164338,0.545800,0.542564,0.323657,0.170145,0.675023,0.542639
3,0.408270,0.404806,0.346419,0.172518,0.542695,0.540135,0.256031,0.179578,0.669933,0.540149
4,0.405066,0.402041,0.302540,0.181697,0.539582,0.537315,0.226740,0.185408,0.664181,0.537322
5,0.402737,0.399916,0.282034,0.190477,0.539151,0.537115,0.203607,0.194510,0.663350,0.537153
6,0.400920,0.398248,0.267145,0.198201,0.537823,0.535923,0.190007,0.200705,0.660942,0.535967
7,0.399420,0.396818,0.260191,0.202021,0.538442,0.536619,0.182301,0.203501,0.661304,0.536665
8,0.398151,0.395619,0.253218,0.203584,0.537623,0.535773,0.184935,0.203038,0.658054,0.535827
9,0.397059,0.394557,0.250156,0.205097,0.537280,0.535513,0.176666,0.206356,0.658509,0.535567
10,0.396134,0.393666,0.246803,0.207322,0.537042,0.535311,0.173086,0.206801,0.657971,0.535285
11,0.395194,0.392743,0.245067,0.208387,0.536519,0.534780,0.173971,0.206041,0.655147,0.534812
12,0.394468,0.392003,0.246530,0.208857,0.536508,0.534768,0.173989,0.208800,0.654509,0.534738
13,0.393606,0.391135,0.247071,0.208638,0.535517,0.533760,0.175746,0.207627,0.651775,0.533817
14,0.392901,0.390415,0.248608,0.208824,0.535864,0.534104,0.176034,0.209000,0.652462,0.534148
15,0.392323,0.389802,0.252031,0.209558,0.535556,0.533707,0.184922,0.208159,0.652292,0.533710
16,0.391648,0.389070,0.257815,0.208999,0.536801,0.534849,0.195168,0.206693,0.653193,0.534929
17,0.390807,0.388198,0.260868,0.209732,0.536195,0.534282,0.191236,0.208138,0.652646,0.534262
