epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.548804,0.504170,0.892682,0.146756,0.740532,0.695947,0.891687,0.165261,0.995969,0.695186
1,0.503076,0.460000,0.861517,0.162203,0.694452,0.651911,0.850807,0.177431,0.897893,0.651863
2,0.486990,0.445491,0.829990,0.170328,0.675145,0.634286,0.817187,0.179083,0.859025,0.634044
3,0.477919,0.437828,0.801817,0.172478,0.662757,0.623463,0.785895,0.178986,0.833812,0.622669
4,0.471234,0.432450,0.775673,0.174231,0.653118,0.615361,0.755154,0.178290,0.818027,0.615886
5,0.466422,0.428887,0.750709,0.177682,0.646113,0.609765,0.726965,0.181480,0.805156,0.609732
6,0.461886,0.425589,0.725948,0.182676,0.641761,0.606793,0.699363,0.184338,0.798796,0.606974
7,0.458457,0.423231,0.704514,0.187209,0.637649,0.603588,0.681233,0.187761,0.793445,0.603955
8,0.455770,0.421481,0.685779,0.191474,0.633132,0.600061,0.661437,0.189983,0.787157,0.600548
9,0.452582,0.419182,0.667987,0.195623,0.630031,0.597903,0.642567,0.194044,0.782488,0.597822
10,0.450529,0.417969,0.651188,0.199527,0.627774,0.596409,0.627313,0.195109,0.779116,0.596677
11,0.448233,0.416378,0.637109,0.202373,0.624720,0.594297,0.608459,0.198260,0.775303,0.594982
12,0.446559,0.415432,0.622552,0.205663,0.623660,0.594082,0.591547,0.201259,0.774513,0.594471
13,0.444541,0.414133,0.608156,0.209323,0.621717,0.592698,0.580387,0.203761,0.771029,0.592746
14,0.442860,0.413191,0.593396,0.213882,0.619770,0.591542,0.564562,0.207154,0.766507,0.591089
15,0.441398,0.412470,0.578554,0.218728,0.617817,0.590632,0.543693,0.212746,0.766407,0.591112
16,0.439422,0.411282,0.562790,0.223127,0.616178,0.590050,0.522548,0.217444,0.764217,0.590126
17,0.437931,0.410683,0.544949,0.228443,0.614411,0.589332,0.501581,0.223519,0.761490,0.589574
18,0.436302,0.409935,0.527344,0.233850,0.612039,0.588188,0.477022,0.230539,0.761204,0.588236
19,0.434798,0.409270,0.510556,0.239187,0.610268,0.587118,0.463010,0.233679,0.760553,0.587640
20,0.433428,0.408609,0.496373,0.243482,0.608885,0.586302,0.451667,0.233247,0.757567,0.586519
21,0.432305,0.408052,0.485059,0.246725,0.607191,0.585614,0.431542,0.239107,0.758055,0.586048
22,0.431102,0.407390,0.474234,0.249745,0.608008,0.586889,0.422378,0.238978,0.758650,0.587235
23,0.430512,0.407237,0.465487,0.252646,0.605798,0.585271,0.410526,0.241562,0.755854,0.585663
24,0.429466,0.406645,0.456425,0.254580,0.605064,0.585178,0.397717,0.243115,0.754769,0.584789
25,0.428645,0.406280,0.447296,0.257221,0.604290,0.585014,0.385510,0.245078,0.756133,0.585077
26,0.427702,0.405771,0.438629,0.259035,0.604685,0.585918,0.375345,0.247301,0.753978,0.585236
27,0.426901,0.405374,0.430531,0.261892,0.602661,0.584316,0.366908,0.248678,0.753730,0.584369
28,0.426554,0.405359,0.423919,0.263344,0.602456,0.584464,0.359854,0.249847,0.753279,0.584177
29,0.425791,0.404892,0.417969,0.265757,0.600783,0.583126,0.353156,0.251008,0.751653,0.583005
30,0.425396,0.404736,0.413211,0.268033,0.601286,0.583809,0.349541,0.252002,0.752919,0.583366
31,0.424593,0.404192,0.408032,0.270207,0.601045,0.584033,0.340240,0.254053,0.753526,0.583857
