epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.508425,0.499489,0.893638,0.143439,1.005464,0.996515,0.894985,0.170592,0.996509,0.696702
1,0.434572,0.425958,0.861447,0.161792,0.907387,0.898879,0.850785,0.183085,0.898090,0.654208
2,0.413079,0.404788,0.829117,0.168970,0.859787,0.851649,0.813728,0.189409,0.852337,0.634126
3,0.401703,0.393694,0.800912,0.172834,0.834823,0.826983,0.784016,0.189287,0.828387,0.624214
4,0.394177,0.386419,0.775800,0.175965,0.818400,0.810873,0.752728,0.191221,0.810209,0.617254
5,0.387315,0.379795,0.752018,0.177565,0.806460,0.799168,0.729185,0.187195,0.798227,0.612749
6,0.382882,0.375574,0.730861,0.179869,0.799426,0.792387,0.703849,0.188240,0.792090,0.610792
7,0.378636,0.371532,0.710359,0.182930,0.787091,0.780272,0.681938,0.194175,0.780744,0.606052
8,0.375446,0.368544,0.690194,0.188177,0.788126,0.781482,0.664415,0.195966,0.778662,0.605268
9,0.373193,0.366468,0.672492,0.191593,0.778380,0.771927,0.645213,0.198871,0.773325,0.603343
10,0.370559,0.363992,0.656645,0.195172,0.779493,0.773194,0.629940,0.201184,0.772990,0.603062
11,0.367752,0.361336,0.641596,0.198218,0.774559,0.768346,0.621335,0.203840,0.766053,0.598502
12,0.366332,0.360049,0.628303,0.201175,0.769314,0.763248,0.606598,0.203858,0.763984,0.598234
13,0.364350,0.358207,0.614290,0.203559,0.762707,0.756822,0.588496,0.211239,0.757798,0.594747
14,0.362291,0.356299,0.599279,0.207685,0.764691,0.758968,0.572306,0.214019,0.757092,0.594297
15,0.360958,0.355108,0.585040,0.210832,0.761912,0.756269,0.564323,0.211917,0.756884,0.595071
16,0.359039,0.353314,0.572501,0.213633,0.758928,0.753412,0.551620,0.216972,0.753782,0.593364
17,0.357922,0.352306,0.561614,0.215803,0.756586,0.751171,0.541555,0.218036,0.750576,0.591181
18,0.356214,0.350697,0.551658,0.218105,0.758923,0.753624,0.529926,0.218368,0.751870,0.593303
19,0.355502,0.350076,0.542622,0.219671,0.757623,0.752402,0.522030,0.222586,0.752190,0.593011
