epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.554397,0.547629,0.676817,0.141492,0.813544,0.806525,0.701945,0.167565,1.321346,0.806654
1,0.518430,0.512054,0.637631,0.164765,0.794478,0.787902,0.657531,0.177197,1.282439,0.787838
2,0.506048,0.500030,0.601882,0.174785,0.787259,0.781041,0.621811,0.181571,1.274712,0.781259
3,0.499476,0.493721,0.575451,0.178902,0.783184,0.777291,0.589381,0.187611,1.270538,0.777239
4,0.494941,0.489423,0.551748,0.182623,0.780152,0.774538,0.561339,0.188444,1.264642,0.774155
5,0.491643,0.486433,0.521000,0.190591,0.777786,0.772574,0.521239,0.194969,1.263701,0.772104
6,0.489247,0.484230,0.501619,0.195057,0.776088,0.771079,0.500992,0.197259,1.262906,0.771171
7,0.487267,0.482363,0.490385,0.197279,0.774717,0.769814,0.490225,0.196669,1.259738,0.769790
8,0.485678,0.480868,0.481002,0.198864,0.772517,0.767761,0.475695,0.197870,1.255527,0.768174
9,0.483935,0.479201,0.473362,0.199747,0.773319,0.768618,0.470068,0.197508,1.259948,0.768555
10,0.482720,0.478049,0.467139,0.201085,0.771008,0.766418,0.459008,0.199251,1.251988,0.766182
11,0.481437,0.476815,0.462191,0.201653,0.771393,0.766813,0.457995,0.200224,1.257213,0.766907
12,0.480376,0.475778,0.459774,0.203757,0.771517,0.766971,0.454624,0.201665,1.260437,0.767068
