epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.536074,0.536074,1.000000,0.276618,0.276618,0.000000,0.000000,0.276634,0.370600
1,0.481412,0.481412,1.000000,0.257255,0.257255,0.000000,0.000000,0.257596,0.355838
2,0.452841,0.452841,1.000000,0.250082,0.250082,0.000000,0.000000,0.249872,0.349143
3,0.436041,0.436041,1.000000,0.243273,0.243273,0.000000,0.000000,0.242906,0.343609
4,0.421751,0.421751,1.000000,0.241719,0.241719,0.000000,0.000000,0.241290,0.341885
5,0.412610,0.412610,1.000000,0.238603,0.238603,0.000000,0.000000,0.238918,0.339525
6,0.404345,0.404345,1.000000,0.236593,0.236593,0.000000,0.000000,0.236758,0.338279
7,0.399694,0.399694,1.000000,0.234660,0.234660,0.000000,0.000000,0.234733,0.337105
8,0.397086,0.397086,1.000000,0.235531,0.235531,0.000000,0.000000,0.235282,0.336771
9,0.391237,0.391237,1.000000,0.232456,0.232456,0.000000,0.000000,0.232853,0.334561
10,0.387024,0.387024,1.000000,0.233751,0.233751,0.000000,0.000000,0.233100,0.334984
11,0.383438,0.383438,1.000000,0.232566,0.232566,0.000000,0.000000,0.232111,0.334062
