epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.464383,0.457825,0.655750,0.125208,0.399940,0.393349,0.659034,0.151070,0.327718,0.394518
1,0.433962,0.427788,0.617402,0.136852,0.386378,0.380281,0.609711,0.157961,0.314410,0.383664
2,0.423955,0.418143,0.581171,0.139104,0.382148,0.376370,0.577796,0.157488,0.305889,0.377941
3,0.417692,0.412170,0.552217,0.139710,0.381719,0.376269,0.545034,0.158709,0.305392,0.376613
4,0.413309,0.408024,0.528464,0.142283,0.381268,0.376073,0.519489,0.160044,0.302497,0.374682
5,0.409791,0.404721,0.507083,0.145474,0.380399,0.375467,0.493160,0.161464,0.301557,0.373662
6,0.406952,0.402065,0.488617,0.148607,0.375346,0.370652,0.469378,0.168573,0.298575,0.371863
7,0.404552,0.399827,0.472422,0.151267,0.383535,0.379022,0.451308,0.171251,0.297907,0.370860
8,0.403133,0.398567,0.456598,0.154265,0.373547,0.369200,0.434790,0.174239,0.295783,0.369863
9,0.401141,0.396711,0.443018,0.157185,0.372890,0.368682,0.420805,0.176169,0.296707,0.370320
10,0.399502,0.395183,0.431940,0.160255,0.371360,0.367304,0.405590,0.179775,0.295089,0.368882
11,0.398530,0.394309,0.422088,0.162787,0.377490,0.373571,0.391940,0.184314,0.291802,0.367155
12,0.397215,0.393079,0.413650,0.165220,0.374802,0.370923,0.387984,0.184680,0.293251,0.367308
