epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.432213,0.425636,0.657716,0.132632,0.366429,0.359883,0.654602,0.165936,0.267727,0.359444
1,0.399425,0.393277,0.614748,0.155231,0.354466,0.348491,0.597447,0.176884,0.254074,0.348159
2,0.388204,0.382493,0.571052,0.165462,0.348006,0.342488,0.551809,0.183465,0.246822,0.342789
3,0.380759,0.375395,0.536458,0.172228,0.343845,0.338703,0.514204,0.188531,0.241401,0.338827
4,0.375670,0.370595,0.507463,0.177837,0.341754,0.336920,0.483381,0.191905,0.238581,0.336802
5,0.371399,0.366543,0.485637,0.180077,0.340351,0.335772,0.457850,0.192195,0.237172,0.335564
6,0.368231,0.363554,0.467705,0.182475,0.337215,0.332814,0.440030,0.195838,0.233802,0.332849
7,0.365562,0.361002,0.455963,0.185037,0.336407,0.332165,0.424213,0.199477,0.233427,0.332222
8,0.363870,0.359414,0.445618,0.187376,0.335755,0.331576,0.417878,0.197480,0.232020,0.331246
9,0.361795,0.357395,0.440052,0.188570,0.335103,0.331002,0.410107,0.197444,0.231876,0.331142
10,0.360107,0.355762,0.434541,0.190708,0.333249,0.329225,0.402443,0.199623,0.229708,0.329501
11,0.358785,0.354523,0.426209,0.192513,0.332530,0.328653,0.387757,0.202201,0.228844,0.328718
12,0.358523,0.354338,0.418460,0.194639,0.332225,0.328405,0.382009,0.201860,0.228453,0.328519
13,0.356556,0.352424,0.413229,0.194914,0.331999,0.328210,0.378857,0.200502,0.228256,0.328199
14,0.354886,0.350787,0.409908,0.194194,0.330184,0.326465,0.371940,0.203229,0.226329,0.326351
15,0.354018,0.349957,0.406145,0.194557,0.330148,0.326468,0.368044,0.201663,0.226267,0.326533
16,0.353177,0.349148,0.402842,0.194821,0.329903,0.326240,0.366244,0.199933,0.225875,0.326320
17,0.352156,0.348161,0.399487,0.194762,0.328659,0.325039,0.362025,0.201228,0.224158,0.325035
18,0.351152,0.347206,0.394535,0.194967,0.327839,0.324275,0.356400,0.203446,0.223818,0.324136
19,0.350476,0.346567,0.390886,0.195906,0.328833,0.325347,0.348584,0.199968,0.224834,0.325322
20,0.350004,0.346161,0.384350,0.195477,0.327272,0.323869,0.340300,0.202091,0.222430,0.323905
21,0.350010,0.346234,0.377566,0.196241,0.328649,0.325306,0.334260,0.200523,0.224767,0.325197
22,0.347944,0.344210,0.373449,0.195734,0.327637,0.324381,0.325589,0.202530,0.223209,0.323839
0,0.434350,0.427813,0.653730,0.129503,0.366312,0.359814,0.649797,0.149837,0.266178,0.359407
1,0.399250,0.393123,0.612720,0.136430,0.354545,0.348532,0.601301,0.147405,0.253098,0.348216
2,0.387646,0.381918,0.572812,0.138549,0.348317,0.342709,0.560741,0.148112,0.246534,0.343015
3,0.380706,0.375263,0.544373,0.141393,0.343994,0.338579,0.541574,0.149531,0.240606,0.338680
4,0.376017,0.370756,0.526102,0.143874,0.341218,0.336131,0.508696,0.153194,0.236817,0.336024
5,0.372101,0.367014,0.508630,0.148549,0.339326,0.334352,0.497388,0.159897,0.235109,0.334147
6,0.369046,0.364088,0.495856,0.151523,0.336795,0.332009,0.478634,0.160826,0.231575,0.332030
7,0.366455,0.361582,0.487284,0.154144,0.335873,0.331058,0.481465,0.160620,0.231364,0.331094
8,0.364497,0.359719,0.477857,0.154911,0.334765,0.330115,0.464996,0.161778,0.229323,0.329783
9,0.361864,0.357173,0.469093,0.156939,0.333298,0.328783,0.451465,0.163322,0.228324,0.328901
10,0.360209,0.355640,0.456975,0.159280,0.330680,0.326209,0.447072,0.166042,0.225096,0.326486
11,0.359091,0.354604,0.448697,0.161354,0.330018,0.325886,0.413206,0.168388,0.224518,0.325931
12,0.358638,0.354257,0.438067,0.161936,0.329373,0.325249,0.412441,0.166715,0.223881,0.325422
13,0.356681,0.352372,0.430903,0.162617,0.329375,0.325404,0.397026,0.169908,0.224005,0.325374
14,0.355068,0.350832,0.423544,0.164898,0.328108,0.324159,0.394857,0.170930,0.222666,0.324051
15,0.354412,0.350231,0.418101,0.165531,0.327880,0.324005,0.387457,0.170864,0.222732,0.324065
16,0.353411,0.349258,0.415392,0.166615,0.326900,0.323016,0.388425,0.171485,0.221381,0.323081
17,0.352621,0.348474,0.414647,0.166643,0.326781,0.322933,0.384761,0.174208,0.221259,0.322925
18,0.351546,0.347426,0.411986,0.166284,0.326464,0.322619,0.384536,0.173135,0.221398,0.322476
19,0.351134,0.347041,0.409317,0.168076,0.327081,0.323237,0.384442,0.171608,0.222062,0.323198
20,0.350942,0.346867,0.407528,0.168705,0.325448,0.321638,0.381000,0.171777,0.219620,0.321636
21,0.351221,0.347143,0.407849,0.168590,0.326356,0.322547,0.380892,0.173277,0.221072,0.322441
22,0.349312,0.345215,0.409674,0.168777,0.326417,0.322679,0.373850,0.177050,0.220831,0.322142
