epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.402713,0.394085,0.862872,0.136507,0.604559,0.596713,0.784607,0.143711,0.596466,0.523921
1,0.351149,0.343717,0.743227,0.142740,0.567712,0.561058,0.665414,0.148056,0.561149,0.506401
2,0.335533,0.328996,0.653676,0.149532,0.556735,0.550914,0.582136,0.154185,0.551103,0.501385
3,0.326374,0.320651,0.572244,0.157015,0.546227,0.541264,0.496303,0.161016,0.540993,0.496270
4,0.320122,0.315036,0.508614,0.163748,0.538769,0.534362,0.440672,0.166277,0.534962,0.492935
5,0.315561,0.310937,0.462363,0.167818,0.536104,0.532162,0.394189,0.166875,0.532515,0.491957
6,0.312026,0.307721,0.430409,0.170956,0.530330,0.526712,0.361774,0.173347,0.526745,0.488473
7,0.309409,0.305319,0.409026,0.172793,0.529189,0.525783,0.340599,0.174714,0.526071,0.488473
8,0.307102,0.303166,0.393607,0.173836,0.527533,0.524235,0.329722,0.172180,0.524705,0.487898
9,0.305256,0.301400,0.385629,0.172509,0.527176,0.523906,0.327001,0.168607,0.523210,0.486606
10,0.303712,0.299946,0.376629,0.171584,0.527508,0.524298,0.320991,0.167141,0.524114,0.487651
11,0.302108,0.298444,0.366434,0.171143,0.525845,0.522789,0.305592,0.168400,0.522364,0.486740
12,0.300798,0.297211,0.358669,0.171857,0.524735,0.521729,0.300640,0.170432,0.521924,0.486437
13,0.299768,0.296256,0.351171,0.172229,0.523603,0.520759,0.284375,0.174243,0.520257,0.485405
14,0.298780,0.295308,0.347137,0.171985,0.523457,0.520597,0.285988,0.170743,0.520386,0.485129
15,0.297717,0.294301,0.341620,0.172376,0.519908,0.517147,0.276120,0.172273,0.517566,0.484220
16,0.296617,0.293246,0.337118,0.172950,0.520131,0.517446,0.268432,0.172422,0.517126,0.483815
17,0.295636,0.292305,0.333162,0.173472,0.521973,0.519286,0.268687,0.172124,0.518939,0.485270
