epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.353194,0.353194,1.000000,0.472116,0.472116,0.000000,0.000000,0.472058,0.467842
1,0.303296,0.303296,1.000000,0.443209,0.443209,0.000000,0.000000,0.443280,0.451788
2,0.286346,0.286346,1.000000,0.428918,0.428918,0.000000,0.000000,0.428753,0.443494
3,0.276666,0.276666,1.000000,0.419986,0.419986,0.000000,0.000000,0.419956,0.437995
4,0.269918,0.269918,1.000000,0.414027,0.414027,0.000000,0.000000,0.414015,0.434465
5,0.265638,0.265638,1.000000,0.411888,0.411888,0.000000,0.000000,0.412193,0.433968
6,0.262366,0.262366,1.000000,0.407490,0.407490,0.000000,0.000000,0.407302,0.430116
7,0.259369,0.259369,1.000000,0.405072,0.405072,0.000000,0.000000,0.405091,0.428038
8,0.256990,0.256990,1.000000,0.403166,0.403166,0.000000,0.000000,0.402988,0.426289
9,0.254931,0.254931,1.000000,0.403345,0.403345,0.000000,0.000000,0.403389,0.427730
10,0.253244,0.253244,1.000000,0.402853,0.402853,0.000000,0.000000,0.402298,0.426463
11,0.251887,0.251887,1.000000,0.403032,0.403032,0.000000,0.000000,0.402848,0.426851
12,0.250510,0.250510,1.000000,0.402274,0.402274,0.000000,0.000000,0.402033,0.425928
13,0.249306,0.249306,1.000000,0.401718,0.401718,0.000000,0.000000,0.401524,0.425696
14,0.248421,0.248421,1.000000,0.403542,0.403542,0.000000,0.000000,0.403786,0.427323
15,0.247488,0.247488,1.000000,0.403485,0.403485,0.000000,0.000000,0.403462,0.426708
