epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.481638,0.473852,0.778563,0.135387,0.671014,0.664617,0.639716,0.138659,1.016134,0.664603
1,0.457348,0.451629,0.571902,0.143497,0.659940,0.655444,0.449601,0.149808,0.998356,0.655425
2,0.450726,0.446307,0.441913,0.154393,0.655404,0.651998,0.340518,0.159574,0.991385,0.652025
3,0.446992,0.443311,0.368049,0.162159,0.653764,0.650911,0.285365,0.161963,0.990230,0.650985
4,0.444417,0.441177,0.324010,0.167868,0.652581,0.650067,0.251363,0.169517,0.988415,0.650066
5,0.442527,0.439531,0.299580,0.172951,0.648550,0.646286,0.226370,0.172901,0.978465,0.646299
6,0.440978,0.438121,0.285666,0.176331,0.648171,0.646064,0.210744,0.178382,0.978472,0.646054
7,0.439764,0.436979,0.278501,0.179069,0.648416,0.646350,0.206597,0.179446,0.980346,0.646450
8,0.438716,0.435962,0.275332,0.181282,0.646306,0.644237,0.206871,0.181790,0.973553,0.644284
9,0.437927,0.435183,0.274462,0.184136,0.646801,0.644723,0.207743,0.185833,0.976663,0.644706
10,0.437249,0.434450,0.279967,0.186388,0.647145,0.644895,0.225064,0.186272,0.975456,0.644894
