epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.367107,0.367107,1.000000,0.558198,0.558198,0.000000,0.000000,0.560434,0.504613
1,0.323347,0.323347,1.000000,0.536994,0.536994,0.000000,0.000000,0.537485,0.494208
2,0.311408,0.311408,1.000000,0.526284,0.526284,0.000000,0.000000,0.528579,0.490144
3,0.304132,0.304132,1.000000,0.523121,0.523121,0.000000,0.000000,0.523803,0.487000
4,0.299348,0.299348,1.000000,0.523501,0.523501,0.000000,0.000000,0.519459,0.484060
5,0.295635,0.295635,1.000000,0.516356,0.516356,0.000000,0.000000,0.517858,0.483629
6,0.292571,0.292571,1.000000,0.516768,0.516768,0.000000,0.000000,0.517362,0.483226
7,0.290111,0.290111,1.000000,0.511512,0.511512,0.000000,0.000000,0.513532,0.481614
8,0.287849,0.287849,1.000000,0.512802,0.512802,0.000000,0.000000,0.514087,0.481765
9,0.285929,0.285929,1.000000,0.515526,0.515526,0.000000,0.000000,0.515343,0.483055
