epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.345809,0.338171,0.763787,0.144697,0.460344,0.453981,0.636316,0.149605,0.454174,0.458044
1,0.293423,0.287871,0.555219,0.157311,0.436497,0.431961,0.453572,0.161252,0.432191,0.444729
2,0.279124,0.274836,0.428805,0.168434,0.424021,0.420690,0.333090,0.174400,0.420787,0.437222
3,0.271230,0.267723,0.350681,0.176177,0.416764,0.414089,0.267505,0.177258,0.414184,0.433355
4,0.265948,0.262846,0.310230,0.179701,0.413177,0.410855,0.232267,0.180261,0.410616,0.430871
5,0.261435,0.258551,0.288391,0.180514,0.409656,0.407549,0.210715,0.179002,0.407680,0.428889
6,0.257886,0.255122,0.276403,0.180277,0.409339,0.407272,0.206679,0.175013,0.407440,0.429599
7,0.254585,0.251864,0.272040,0.180295,0.404271,0.402256,0.201503,0.177388,0.402391,0.426140
8,0.251698,0.248990,0.270857,0.180602,0.401092,0.399044,0.204816,0.177263,0.398951,0.423660
9,0.249228,0.246523,0.270540,0.180408,0.403256,0.401181,0.207419,0.175869,0.401125,0.425037
10,0.247264,0.244525,0.273875,0.180461,0.398208,0.396116,0.209159,0.178993,0.396261,0.421983
11,0.245391,0.242643,0.274803,0.180986,0.401201,0.399105,0.209680,0.179017,0.398831,0.424093
12,0.243820,0.241053,0.276689,0.181394,0.396727,0.394641,0.208577,0.181990,0.394210,0.420289
13,0.242372,0.239592,0.278001,0.182645,0.397122,0.394947,0.217456,0.179213,0.394762,0.421334
14,0.241187,0.238377,0.280973,0.184193,0.396773,0.394570,0.220257,0.185326,0.394546,0.419837
15,0.240017,0.237194,0.282262,0.185074,0.400311,0.398152,0.215923,0.184967,0.398309,0.423316
16,0.238864,0.236042,0.282274,0.185744,0.392430,0.390261,0.216890,0.184412,0.390245,0.418254
17,0.237994,0.235177,0.281687,0.186349,0.394112,0.391888,0.222408,0.186722,0.391671,0.419421
18,0.237083,0.234260,0.282359,0.187287,0.396441,0.394298,0.214330,0.184679,0.394577,0.421188
