epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.559536,0.559536,1.000000,1.224627,1.224627,0.000000,0.000000,1.193343,0.767970
1,0.481052,0.481052,1.000000,1.102827,1.102827,0.000000,0.000000,1.096557,0.727514
2,0.453549,0.453549,1.000000,1.016687,1.016687,0.000000,0.000000,1.049740,0.705864
3,0.440634,0.440634,1.000000,0.992284,0.992284,0.000000,0.000000,1.023038,0.694837
4,0.432277,0.432277,1.000000,0.988130,0.988130,0.000000,0.000000,1.004209,0.686773
5,0.425637,0.425637,1.000000,0.960530,0.960530,0.000000,0.000000,0.992012,0.681731
6,0.420262,0.420262,1.000000,1.002676,1.002676,0.000000,0.000000,0.982606,0.677434
7,0.416316,0.416316,1.000000,0.975840,0.975840,0.000000,0.000000,0.977722,0.675019
8,0.411754,0.411754,1.000000,0.944805,0.944805,0.000000,0.000000,0.972866,0.672375
9,0.408706,0.408706,1.000000,0.981817,0.981817,0.000000,0.000000,0.970135,0.671998
10,0.405317,0.405317,1.000000,1.036017,1.036017,0.000000,0.000000,0.969913,0.670165
11,0.402982,0.402982,1.000000,0.960881,0.960881,0.000000,0.000000,0.966487,0.668938
