epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,1.788782,0.713647,0.988977,0.000000,2.231011,1.594902,0.978421,0.133599,1.595129,0.897605
1,1.742496,0.639316,0.973313,0.000000,2.186806,1.515994,0.930121,0.177109,1.516250,0.866051
2,1.721097,0.616481,0.943303,0.000000,2.169658,1.491102,0.881151,0.190948,1.491234,0.853334
3,1.705257,0.604261,0.917042,0.000000,2.161981,1.482438,0.855073,0.191521,1.482554,0.848096
4,1.692104,0.596451,0.898027,0.000000,2.158990,1.481953,0.834949,0.189325,1.481699,0.846362
5,1.680806,0.591659,0.882885,0.000000,2.156150,1.481008,0.820740,0.185781,1.480716,0.845285
6,1.669332,0.586134,0.870638,0.000000,2.155321,1.483229,0.809205,0.186711,1.484053,0.844959
7,1.658498,0.581368,0.861633,0.000000,2.155702,1.486995,0.801420,0.182210,1.487018,0.845500
8,1.648385,0.577573,0.854568,0.000000,2.157571,1.492955,0.794245,0.181379,1.492379,0.846643
0,1.788782,0.713647,0.988977,0.000000,2.231011,1.594902,0.978421,0.133599,1.595129,0.897605
1,1.742496,0.639316,0.973313,0.000000,2.186806,1.515994,0.930121,0.177109,1.516250,0.866051
2,1.721097,0.616481,0.943303,0.000000,2.169658,1.491102,0.881151,0.190948,1.491234,0.853334
3,1.705257,0.604261,0.917042,0.000000,2.161981,1.482438,0.855073,0.191521,1.482554,0.848096
4,1.692104,0.596451,0.898027,0.000000,2.158990,1.481953,0.834949,0.189325,1.481699,0.846362
5,1.680806,0.591659,0.882885,0.000000,2.156150,1.481008,0.820740,0.185781,1.480716,0.845285
6,1.669332,0.586134,0.870638,0.000000,2.155321,1.483229,0.809205,0.186711,1.484053,0.844959
7,1.658498,0.581368,0.861633,0.000000,2.155702,1.486995,0.801420,0.182210,1.487018,0.845500
8,1.648385,0.577573,0.854568,0.000000,2.157571,1.492955,0.794245,0.181379,1.492379,0.846643
