epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.472756,0.472756,0.996317,0.000000,0.880688,0.880688,0.992009,0.205809,0.878431,0.648855
1,0.395883,0.395883,0.996163,0.000000,0.796572,0.796572,0.991974,0.211544,0.796984,0.612969
2,0.379495,0.379495,0.996144,0.000000,0.764958,0.764958,0.991917,0.209247,0.764248,0.599487
3,0.368938,0.368938,0.996063,0.000000,0.748158,0.748158,0.991724,0.208495,0.745597,0.590683
4,0.361643,0.361643,0.996110,0.000000,0.735739,0.735739,0.991893,0.208114,0.736880,0.586239
5,0.356983,0.356983,0.996202,0.000000,0.727711,0.727711,0.991847,0.204479,0.727489,0.582380
6,0.352242,0.352242,0.996207,0.000000,0.722185,0.722185,0.991969,0.204783,0.723258,0.581013
7,0.348635,0.348635,0.996259,0.000000,0.720031,0.720031,0.991968,0.204909,0.721399,0.579109
8,0.345672,0.345672,0.996369,0.000000,0.716244,0.716244,0.991997,0.206007,0.717973,0.577639
9,0.341111,0.341111,0.996434,0.000000,0.716075,0.716075,0.992073,0.205318,0.715963,0.575855
10,0.339027,0.339027,0.996477,0.000000,0.718969,0.718969,0.992251,0.205904,0.719446,0.578022
11,0.335811,0.335811,0.996523,0.000000,0.719007,0.719007,0.992316,0.206122,0.720010,0.578007
12,0.333720,0.333720,0.996631,0.000000,0.720298,0.720298,0.992389,0.207298,0.721218,0.578971
0,0.571371,0.472684,0.986871,0.000000,0.975262,0.879109,0.961526,0.207631,0.876846,0.648178
1,0.491081,0.396156,0.949244,0.000000,0.885793,0.797173,0.886208,0.228317,0.797607,0.613510
2,0.469338,0.380258,0.890803,0.000000,0.849971,0.769498,0.804734,0.238186,0.768764,0.601698
3,0.454365,0.370179,0.841867,0.000000,0.827692,0.752071,0.756208,0.243386,0.749556,0.592646
4,0.444217,0.362953,0.812634,0.000000,0.815754,0.743080,0.726745,0.249711,0.744157,0.590043
5,0.437310,0.357999,0.793103,0.000000,0.808004,0.737247,0.707566,0.252670,0.737060,0.586771
6,0.430644,0.352745,0.778982,0.000000,0.803670,0.734443,0.692279,0.258697,0.735443,0.586723
7,0.425292,0.348463,0.768293,0.000000,0.796661,0.728688,0.679735,0.262358,0.729982,0.583132
8,0.420982,0.345046,0.759363,0.000000,0.797102,0.730044,0.670576,0.266135,0.731734,0.584392
9,0.415846,0.340661,0.751844,0.000000,0.796833,0.730480,0.663534,0.269116,0.730350,0.582810
10,0.412672,0.338062,0.746100,0.000000,0.799322,0.733573,0.657494,0.270937,0.734070,0.585102
