epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.482915,0.482915,1.000000,0.925361,0.925361,0.000000,0.000000,0.923183,0.666724
1,0.405926,0.405926,1.000000,0.828324,0.828324,0.000000,0.000000,0.828781,0.626013
2,0.387992,0.387992,1.000000,0.791123,0.791123,0.000000,0.000000,0.790439,0.611731
3,0.376978,0.376978,1.000000,0.765828,0.765828,0.000000,0.000000,0.763372,0.599279
4,0.369166,0.369166,1.000000,0.747601,0.747601,0.000000,0.000000,0.748684,0.592906
5,0.364355,0.364355,1.000000,0.738000,0.738000,0.000000,0.000000,0.737714,0.588299
6,0.359653,0.359653,1.000000,0.730997,0.730997,0.000000,0.000000,0.731926,0.586865
7,0.356432,0.356432,1.000000,0.726540,0.726540,0.000000,0.000000,0.727784,0.584104
8,0.353755,0.353755,1.000000,0.720553,0.720553,0.000000,0.000000,0.722239,0.582212
9,0.349995,0.349995,1.000000,0.721370,0.721370,0.000000,0.000000,0.721219,0.580673
10,0.348242,0.348242,1.000000,0.720049,0.720049,0.000000,0.000000,0.720547,0.580808
11,0.345652,0.345652,1.000000,0.718671,0.718671,0.000000,0.000000,0.719848,0.580297
12,0.344032,0.344032,1.000000,0.716749,0.716749,0.000000,0.000000,0.717865,0.579394
13,0.341764,0.341764,1.000000,0.718236,0.718236,0.000000,0.000000,0.718184,0.579413
14,0.340294,0.340294,1.000000,0.717985,0.717985,0.000000,0.000000,0.717002,0.579042
