loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.290817, 0.292075, 0.348571, 63.18 M Ops, 7.39 M Ops, 6.30 M Ops, 0.1459 M, 0.4926 %, 35.64 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.290940, 0.292223, 0.348397, 63.18 M Ops, 7.42 M Ops, 5.93 M Ops, 0.1459 M, 0.4660 %, 33.95 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.288975, 0.290150, 0.347528, 63.18 M Ops, 7.51 M Ops, 5.18 M Ops, 0.1450 M, 0.4093 %, 30.60 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.288975, 0.290150, 0.347528, 63.18 M Ops, 7.51 M Ops, 5.18 M Ops, 0.1450 M, 0.4093 %, 30.60 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.290968, 0.291832, 0.349737, 63.96 M Ops, 7.51 M Ops, 5.57 M Ops, 0.1450 M, 0.4934 %, 32.36 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.289566, 0.290743, 0.348091, 63.18 M Ops, 7.50 M Ops, 5.18 M Ops, 0.1450 M, 0.4096 %, 30.60 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.288793, 0.289918, 0.347669, 63.18 M Ops, 7.49 M Ops, 5.18 M Ops, 0.1450 M, 0.4111 %, 30.59 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.288547, 0.289696, 0.347587, 63.18 M Ops, 7.50 M Ops, 5.18 M Ops, 0.1450 M, 0.4113 %, 30.59 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.289139, 0.290302, 0.347674, 63.18 M Ops, 7.51 M Ops, 5.18 M Ops, 0.1450 M, 0.4092 %, 30.60 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.290564, 0.291393, 0.349278, 63.96 M Ops, 7.50 M Ops, 5.56 M Ops, 0.1450 M, 0.4930 %, 32.34 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.289139, 0.290302, 0.347674, 63.18 M Ops, 7.51 M Ops, 5.18 M Ops, 0.1450 M, 0.4092 %, 30.60 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.289315, 0.290498, 0.347828, 63.18 M Ops, 7.50 M Ops, 5.18 M Ops, 0.1450 M, 0.4103 %, 30.60 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.289009, 0.290193, 0.347611, 63.18 M Ops, 7.50 M Ops, 5.18 M Ops, 0.1450 M, 0.4094 %, 30.60 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.288739, 0.289919, 0.347341, 63.18 M Ops, 7.51 M Ops, 5.18 M Ops, 0.1450 M, 0.4095 %, 30.60 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.290589, 0.291391, 0.349087, 63.96 M Ops, 7.51 M Ops, 5.57 M Ops, 0.1450 M, 0.4938 %, 32.36 uJ
