epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.698347,0.615500,0.828468,0.181060,0.405287,0.330370,0.749173,0.190826,0.336809,0.406867
1,0.637916,0.562915,0.750006,0.181652,0.382900,0.313102,0.697983,0.188442,0.317637,0.392856
2,0.606056,0.534042,0.720135,0.185401,0.367208,0.298623,0.685851,0.189717,0.306280,0.384456
3,0.583765,0.514334,0.694318,0.191622,0.375077,0.310881,0.641963,0.200055,0.298573,0.377813
4,0.569221,0.502152,0.670688,0.197561,0.360383,0.297560,0.628239,0.201218,0.294800,0.374891
5,0.558301,0.493171,0.651303,0.201851,0.366017,0.305064,0.609531,0.206309,0.292447,0.372654
6,0.544459,0.480861,0.635978,0.205548,0.355566,0.296091,0.594751,0.205534,0.292540,0.372592
7,0.537265,0.475008,0.622565,0.207805,0.348239,0.290402,0.578376,0.207828,0.291914,0.371723
8,0.530956,0.469646,0.613091,0.209818,0.349972,0.292239,0.577328,0.206801,0.291938,0.371646
9,0.520527,0.459950,0.605770,0.211433,0.340489,0.284333,0.561561,0.209924,0.289321,0.370224
10,0.515726,0.455905,0.598210,0.212497,0.344232,0.288466,0.557659,0.209565,0.290884,0.370703
11,0.512467,0.453154,0.593124,0.213378,0.340715,0.285685,0.550292,0.211444,0.290112,0.370568
