epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.622208,0.546837,0.753707,0.129571,0.357742,0.280418,0.773246,0.121668,0.280549,0.374406
1,0.553983,0.482921,0.710620,0.144334,0.328046,0.260192,0.678538,0.163498,0.259670,0.359192
2,0.519132,0.452888,0.662440,0.150257,0.310140,0.247073,0.630670,0.163503,0.247323,0.349365
3,0.489815,0.427186,0.626291,0.153056,0.299907,0.239896,0.600109,0.161691,0.239913,0.343199
4,0.473374,0.413611,0.597627,0.155278,0.292500,0.235562,0.569382,0.163884,0.235471,0.339232
5,0.458493,0.400977,0.575160,0.157119,0.287413,0.232866,0.545465,0.165145,0.232829,0.336845
6,0.450986,0.395343,0.556425,0.158218,0.283720,0.230945,0.527751,0.165348,0.230842,0.335254
7,0.442517,0.388383,0.541337,0.159050,0.281478,0.230137,0.513411,0.165880,0.230171,0.334434
8,0.435232,0.382278,0.529540,0.159736,0.279471,0.229632,0.498389,0.165774,0.229361,0.333830
9,0.423864,0.372087,0.517772,0.160312,0.277127,0.228288,0.488389,0.165874,0.228308,0.332860
10,0.416162,0.365408,0.507543,0.160797,0.275693,0.228240,0.474536,0.166009,0.228186,0.332577
11,0.414087,0.364164,0.499232,0.161005,0.275163,0.228903,0.462608,0.166851,0.229054,0.332902
12,0.411567,0.362452,0.491152,0.161118,0.274464,0.228917,0.455466,0.166418,0.228828,0.332592
