epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,1.113083,0.563981,0.610114,0.141672,1.264813,0.858827,0.451096,0.158329,1.590226,0.859125
1,0.934135,0.545394,0.431935,0.165375,1.188930,0.856979,0.368835,0.179217,1.592428,0.856826
2,0.869617,0.540196,0.366023,0.171767,1.157603,0.855115,0.336098,0.183199,1.585533,0.854854
3,0.832440,0.536917,0.328358,0.182200,1.120974,0.856182,0.294213,0.188012,1.589233,0.856459
4,0.705213,0.533980,0.190258,0.187556,0.981450,0.857714,0.137484,0.190031,1.594324,0.857572
0,1.122305,0.563699,0.620673,0.128196,1.277236,0.859990,0.463606,0.129437,1.594711,0.860288
1,0.882523,0.545402,0.374578,0.131711,1.163001,0.857304,0.339663,0.130428,1.593571,0.857151
2,0.834683,0.540282,0.327113,0.130062,1.136368,0.854868,0.312778,0.130274,1.584805,0.854602
3,0.776738,0.537179,0.266176,0.136070,1.009103,0.858628,0.167194,0.146170,1.592954,0.858906
4,0.664676,0.533930,0.145273,0.145230,0.972199,0.859531,0.125187,0.150375,1.598151,0.859379
0,1.152227,0.563698,0.653921,0.111789,1.359139,0.860088,0.554501,0.103730,1.595376,0.860384
1,0.919670,0.545307,0.415960,0.114855,1.171917,0.856593,0.350360,0.113854,1.591920,0.856448
2,0.820743,0.540326,0.311574,0.114351,1.092686,0.855058,0.264031,0.114572,1.584469,0.854805
3,0.727724,0.537175,0.211722,0.118844,1.035877,0.857174,0.198558,0.117699,1.591315,0.857452
4,0.691565,0.533943,0.175136,0.118749,1.021580,0.858354,0.181362,0.116058,1.593929,0.858208
0,1.122305,0.563699,0.620673,0.128196,1.277236,0.859990,0.463606,0.129437,1.594711,0.860288
1,0.882523,0.545402,0.374578,0.131711,1.163001,0.857304,0.339663,0.130428,1.593571,0.857151
2,0.834683,0.540282,0.327113,0.130062,1.136368,0.854868,0.312778,0.130274,1.584805,0.854602
3,0.776738,0.537179,0.266176,0.136070,1.009103,0.858628,0.167194,0.146170,1.592954,0.858906
4,0.664676,0.533930,0.145273,0.145230,0.972199,0.859531,0.125187,0.150375,1.598151,0.859379
