loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.430916,0.408631,0.429816,131.81 M Ops,18.68 M Ops,4.58 M Ops,0.5645 M,0.4378 %,37.88 uJ,0.558629,0.522405,0.738939
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.428661,0.406967,0.427547,131.81 M Ops,19.44 M Ops,4.58 M Ops,0.5645 M,0.4396 %,38.56 uJ,0.552929,0.519278,0.740002
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.432687,0.412363,0.431567,131.81 M Ops,17.48 M Ops,4.58 M Ops,0.5645 M,0.4414 %,36.80 uJ,0.563616,0.524211,0.736554
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.429119,0.406583,0.428008,131.79 M Ops,19.27 M Ops,4.57 M Ops,0.5644 M,0.4315 %,38.36 uJ,0.553835,0.520089,0.740247
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.431002,0.408699,0.429888,131.79 M Ops,19.19 M Ops,4.57 M Ops,0.5644 M,0.4311 %,38.30 uJ,0.558762,0.522891,0.738895
