epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.584879,0.433656,0.360053,0.172115,0.627139,0.541561,0.203756,0.178361,0.686823,0.541608
1,0.479995,0.419652,0.143673,0.199476,0.590009,0.541133,0.116372,0.205786,0.678445,0.541134
2,0.470218,0.414333,0.133059,0.206406,0.598627,0.538796,0.142454,0.207625,0.675795,0.538866
3,0.469086,0.411017,0.138260,0.214697,0.594310,0.540490,0.128144,0.222753,0.674105,0.540485
4,0.461328,0.408862,0.124920,0.217959,0.591827,0.538653,0.126605,0.217576,0.670028,0.538679
5,0.462858,0.407259,0.132378,0.219337,0.598474,0.539907,0.139444,0.221272,0.672444,0.539951
6,0.462091,0.406411,0.132573,0.227073,0.582603,0.538208,0.105702,0.235083,0.668910,0.538253
7,0.439481,0.405718,0.080388,0.236848,0.564900,0.537140,0.066097,0.240716,0.666417,0.537207
8,0.430061,0.404917,0.059867,0.243203,0.561098,0.538039,0.054904,0.243382,0.667835,0.538046
9,0.427207,0.403971,0.055325,0.247830,0.561342,0.538029,0.055507,0.248660,0.668691,0.538093
