h,mae,mse
1,0.11022929847240448,0.03529650717973709
2,0.13226155936717987,0.04903559014201164
3,0.1467873454093933,0.059100642800331116
4,0.15766949951648712,0.06664889305830002
5,0.16564685106277466,0.07276107370853424
6,0.17279334366321564,0.07862545549869537
7,0.17907217144966125,0.0838233157992363
8,0.1847476363182068,0.0886409729719162
9,0.1898573338985443,0.09359806030988693
10,0.19521810114383698,0.09857958555221558
11,0.20040558278560638,0.10332454741001129
12,0.20524822175502777,0.10822577029466629
13,0.20889237523078918,0.11167378723621368
14,0.21211805939674377,0.11489275097846985
15,0.21510049700737,0.11779018491506577
16,0.21878387033939362,0.12154188007116318
17,0.22146745026111603,0.12443751841783524
18,0.224455788731575,0.12780997157096863
19,0.22764575481414795,0.13136860728263855
20,0.23053951561450958,0.13421866297721863
21,0.23375549912452698,0.13752220571041107
22,0.2359512448310852,0.14010371267795563
23,0.23868930339813232,0.143450066447258
24,0.24085333943367004,0.14627543091773987
25,0.2425224483013153,0.14868536591529846
26,0.24492543935775757,0.15146438777446747
27,0.24640071392059326,0.15365658700466156
28,0.24832920730113983,0.1565471738576889
29,0.2500447630882263,0.15859480202198029
30,0.2519608438014984,0.1611747443675995
31,0.25347691774368286,0.1634570062160492
32,0.254337877035141,0.1649836301803589
33,0.25564733147621155,0.16703586280345917
34,0.2569744288921356,0.16935372352600098
35,0.2578611969947815,0.1707729548215866
36,0.25867679715156555,0.17249685525894165
37,0.2595815062522888,0.17460815608501434
38,0.26065370440483093,0.17626100778579712
39,0.2616528570652008,0.1775270700454712
40,0.26312264800071716,0.1801774799823761
41,0.26426589488983154,0.18175694346427917
42,0.26497671008110046,0.18348008394241333
43,0.26563090085983276,0.1844131052494049
44,0.26606932282447815,0.1854245662689209
45,0.26697707176208496,0.18668091297149658
46,0.26760226488113403,0.1877438873052597
47,0.268384724855423,0.18911077082157135
48,0.26956993341445923,0.19189976155757904
49,0.2705093324184418,0.19375288486480713
50,0.2712835371494293,0.19489353895187378
51,0.27240803837776184,0.19632557034492493
52,0.27385443449020386,0.19834358990192413
53,0.274463951587677,0.19928932189941406
54,0.27483516931533813,0.20043660700321198
55,0.2752811312675476,0.20083087682724
56,0.27582964301109314,0.2023053765296936
57,0.27620527148246765,0.20298683643341064
58,0.2771083116531372,0.20445144176483154
59,0.27749696373939514,0.20523512363433838
60,0.2777940332889557,0.20640479028224945
61,0.2782610058784485,0.2081671506166458
62,0.278783917427063,0.20936565101146698
63,0.2794046401977539,0.21032629907131195
64,0.27986857295036316,0.21095624566078186
65,0.2803942859172821,0.21181754767894745
66,0.28057101368904114,0.21274986863136292
67,0.2807244062423706,0.2134738713502884
68,0.28100982308387756,0.2140890508890152
69,0.28207331895828247,0.21591635048389435
70,0.2823578417301178,0.21701262891292572
71,0.2825411558151245,0.21773569285869598
72,0.28322234749794006,0.21915839612483978
73,0.28331536054611206,0.22011570632457733
74,0.28312376141548157,0.22062140703201294
75,0.2840299904346466,0.22167275846004486
76,0.28422391414642334,0.22228479385375977
77,0.28457486629486084,0.22348757088184357
78,0.28475767374038696,0.22423025965690613
79,0.2846378684043884,0.22489099204540253
80,0.28476983308792114,0.22553332149982452
81,0.2853047251701355,0.22632429003715515
82,0.28555724024772644,0.22710946202278137
83,0.2858715355396271,0.22815336287021637
84,0.285543829202652,0.22796154022216797
85,0.2857815623283386,0.22890722751617432
86,0.2860703468322754,0.229413241147995
87,0.2866020202636719,0.23054522275924683
88,0.2869769334793091,0.2311687469482422
89,0.2873278558254242,0.23173068463802338
90,0.2878468632698059,0.23263008892536163
91,0.28848186135292053,0.23382025957107544
92,0.28884902596473694,0.23438780009746552
93,0.2882518172264099,0.23396213352680206
94,0.289672315120697,0.23561590909957886
95,0.2899838089942932,0.23630157113075256
96,0.2906753420829773,0.23716580867767334
97,0.2928280532360077,0.23944193124771118
98,0.2961784601211548,0.24332983791828156
99,0.2996307611465454,0.24745258688926697
100,0.302920401096344,0.25118765234947205
101,0.3056305944919586,0.25440675020217896
102,0.3077602982521057,0.25714966654777527
103,0.3099146783351898,0.2598751485347748
104,0.31130388379096985,0.2615353465080261
105,0.31304284930229187,0.2636979818344116
106,0.3154758810997009,0.2669835388660431
107,0.31759458780288696,0.2704112231731415
108,0.3197822570800781,0.2737013101577759
109,0.3211199939250946,0.275604784488678
110,0.3227470815181732,0.2778744399547577
111,0.3248641788959503,0.2809058427810669
112,0.32633957266807556,0.2828229069709778
113,0.32710427045822144,0.2844141721725464
114,0.327315092086792,0.28530725836753845
115,0.32837703824043274,0.2870601713657379
116,0.3296867311000824,0.2890501022338867
117,0.33107873797416687,0.2912765443325043
118,0.3324280381202698,0.2931468188762665
119,0.3336245119571686,0.2951084077358246
120,0.3344527781009674,0.2962128221988678
121,0.33504340052604675,0.2975999414920807
122,0.3354944586753845,0.2983591556549072
123,0.33617064356803894,0.29966112971305847
124,0.33730629086494446,0.30123668909072876
125,0.33765512704849243,0.30228814482688904
126,0.3382546603679657,0.3035733699798584
127,0.3394390642642975,0.30614498257637024
128,0.3395788371562958,0.3063918650150299
129,0.3406059443950653,0.3081510663032532
130,0.3410816192626953,0.3087503910064697
131,0.3414243161678314,0.30927565693855286
132,0.34186914563179016,0.3101082444190979
133,0.3421826958656311,0.31080400943756104
134,0.3431504964828491,0.3125201165676117
135,0.34394174814224243,0.31371816992759705
136,0.344383180141449,0.3145987093448639
137,0.3449628949165344,0.3157108426094055
138,0.34512871503829956,0.31607136130332947
139,0.3451220989227295,0.3159610331058502
