h,mae,mse
1,0.10988425463438034,0.03547649458050728
2,0.13293443620204926,0.0499410554766655
3,0.14801695942878723,0.060157425701618195
4,0.15935297310352325,0.06820452213287354
5,0.16724176704883575,0.07427157461643219
6,0.1749998778104782,0.08029226958751678
7,0.18203632533550262,0.08574621379375458
8,0.18805742263793945,0.09084032475948334
9,0.19409437477588654,0.09612888097763062
10,0.19900017976760864,0.10087662190198898
11,0.2044181525707245,0.10584315657615662
12,0.20895646512508392,0.1104017123579979
13,0.21270935237407684,0.11421437561511993
14,0.21677492558956146,0.11815106123685837
15,0.2201494723558426,0.12151235342025757
16,0.2239779382944107,0.1252349466085434
17,0.22711297869682312,0.12838543951511383
18,0.23025692999362946,0.13176500797271729
19,0.23355454206466675,0.13536030054092407
20,0.23631532490253448,0.13854286074638367
21,0.23975077271461487,0.14214059710502625
22,0.24196377396583557,0.144911989569664
23,0.2446032017469406,0.14783255755901337
24,0.2466873824596405,0.1507028490304947
25,0.2484602928161621,0.153053417801857
26,0.2503716051578522,0.15578976273536682
27,0.25254300236701965,0.15847709774971008
28,0.25412532687187195,0.1606781929731369
29,0.2551884055137634,0.16259647905826569
30,0.25674867630004883,0.16511684656143188
31,0.25839024782180786,0.1677364856004715
32,0.2598287761211395,0.17005720734596252
33,0.26102200150489807,0.1718330681324005
34,0.26226961612701416,0.17382419109344482
35,0.2630434036254883,0.1753222942352295
36,0.26375454664230347,0.17671477794647217
37,0.26465967297554016,0.17863455414772034
38,0.26587042212486267,0.180793896317482
39,0.2676124572753906,0.18331938982009888
40,0.2683705687522888,0.18481223285198212
41,0.2688817083835602,0.18644584715366364
42,0.26960641145706177,0.1880512535572052
43,0.2703152000904083,0.1889839917421341
44,0.2702776789665222,0.19001305103302002
45,0.27092739939689636,0.19109661877155304
46,0.27129802107810974,0.19221633672714233
47,0.27217161655426025,0.19366812705993652
48,0.27258509397506714,0.195406973361969
49,0.27352604269981384,0.19715426862239838
50,0.27470237016677856,0.19909512996673584
51,0.27572309970855713,0.2008582055568695
52,0.276604562997818,0.2025817185640335
53,0.2776786684989929,0.20459797978401184
54,0.2776533365249634,0.20556345582008362
55,0.27821341156959534,0.20636260509490967
56,0.2788662016391754,0.20741382241249084
57,0.27864956855773926,0.20777377486228943
58,0.27925682067871094,0.20906475186347961
59,0.2795058786869049,0.20988251268863678
60,0.27975714206695557,0.21074290573596954
61,0.2805390954017639,0.21220596134662628
62,0.2810790240764618,0.21295884251594543
63,0.2820433974266052,0.21447643637657166
64,0.2819221615791321,0.21502749621868134
65,0.2825668454170227,0.21588551998138428
66,0.2825668156147003,0.21659934520721436
67,0.282627671957016,0.2173287570476532
68,0.2833271324634552,0.2189994752407074
69,0.28318139910697937,0.21980689465999603
70,0.28400981426239014,0.2209472805261612
71,0.2846677601337433,0.22193852066993713
72,0.2844997048377991,0.2221028208732605
73,0.28470298647880554,0.22299987077713013
74,0.28478002548217773,0.22392192482948303
75,0.2861098051071167,0.22570578753948212
76,0.2857193052768707,0.22591757774353027
77,0.2853493094444275,0.22606991231441498
78,0.2852766513824463,0.22640284895896912
79,0.2855841815471649,0.22691822052001953
80,0.2855966091156006,0.2272455245256424
81,0.2857893705368042,0.2279980480670929
82,0.28613290190696716,0.22894980013370514
83,0.2864328622817993,0.22961702942848206
84,0.2867385447025299,0.2299841195344925
85,0.2864946126937866,0.2304164469242096
86,0.2869407832622528,0.23182611167430878
87,0.2871028780937195,0.23246461153030396
88,0.2871081829071045,0.23226597905158997
89,0.28752127289772034,0.233378604054451
90,0.2877954840660095,0.23392578959465027
91,0.28827759623527527,0.23465749621391296
92,0.28804880380630493,0.23458105325698853
93,0.2886769473552704,0.23583996295928955
94,0.28863584995269775,0.23583532869815826
95,0.2894824743270874,0.23683807253837585
96,0.2909958064556122,0.2385483682155609
97,0.294068843126297,0.24197518825531006
98,0.2969059348106384,0.24513107538223267
99,0.30111855268478394,0.2498941868543625
100,0.303498774766922,0.2525767982006073
