h,mae,mse
1,0.2369430661201477,0.13347770273685455
2,0.2837238609790802,0.19202075898647308
3,0.31250685453414917,0.23705488443374634
4,0.33400627970695496,0.27096572518348694
5,0.34636828303337097,0.2951841354370117
6,0.3544117212295532,0.3117530047893524
7,0.35884708166122437,0.31998172402381897
8,0.3593910336494446,0.32260215282440186
9,0.36192694306373596,0.3262489438056946
10,0.3637700378894806,0.32742974162101746
11,0.36825838685035706,0.3294973373413086
12,0.3659410774707794,0.3272992670536041
13,0.36425262689590454,0.3271530866622925
14,0.3685866594314575,0.33107492327690125
15,0.37213924527168274,0.3351772725582123
16,0.36450034379959106,0.32670512795448303
17,0.36361145973205566,0.3282686173915863
18,0.36264848709106445,0.3283816874027252
19,0.36247262358665466,0.3283415734767914
20,0.35968703031539917,0.3262426257133484
21,0.35876816511154175,0.3249151110649109
22,0.3582315444946289,0.3271360397338867
23,0.35999295115470886,0.3300797641277313
24,0.36246559023857117,0.33400577306747437
25,0.3686392903327942,0.3437209725379944
26,0.37373867630958557,0.3495367467403412
27,0.37754738330841064,0.3537184000015259
28,0.37990009784698486,0.35933446884155273
29,0.3826218545436859,0.36512014269828796
30,0.3836687207221985,0.37237709760665894
31,0.38356855511665344,0.37283432483673096
32,0.3853144347667694,0.3699395954608917
33,0.38327524065971375,0.3711315393447876
34,0.3833540081977844,0.37143945693969727
35,0.3812948763370514,0.3660079538822174
36,0.3797425925731659,0.3626165986061096
37,0.38019922375679016,0.36300116777420044
38,0.3799491226673126,0.3618357479572296
39,0.3785204589366913,0.3613876700401306
40,0.3784904181957245,0.36189889907836914
41,0.3795762062072754,0.3647300601005554
42,0.37853050231933594,0.3654337525367737
43,0.3780149221420288,0.36006394028663635
44,0.37632668018341064,0.3593980073928833
45,0.37720656394958496,0.36019691824913025
46,0.379183292388916,0.36444956064224243
47,0.37889325618743896,0.3656296133995056
48,0.37582534551620483,0.3612651824951172
49,0.3853178322315216,0.37813740968704224
50,0.39105913043022156,0.3880345821380615
51,0.39347007870674133,0.39061829447746277
52,0.39204511046409607,0.3890998661518097
53,0.39474090933799744,0.397484689950943
54,0.3949003517627716,0.4014084041118622
55,0.3963708281517029,0.40023598074913025
56,0.39726465940475464,0.39725762605667114
57,0.39709800481796265,0.4029383063316345
58,0.3967083990573883,0.3999163806438446
59,0.39426857233047485,0.3959231674671173
60,0.39401528239250183,0.39520692825317383
61,0.3966887593269348,0.4041675329208374
62,0.3959645926952362,0.4011634588241577
63,0.3953738510608673,0.4004969000816345
64,0.3951292932033539,0.3995007276535034
65,0.39947304129600525,0.4089024066925049
66,0.4000460207462311,0.4121849238872528
67,0.3980869650840759,0.4071216881275177
68,0.39767372608184814,0.408858984708786
69,0.39508602023124695,0.4053058326244354
70,0.40137916803359985,0.41953688859939575
71,0.4086667001247406,0.4248718023300171
72,0.39640653133392334,0.40631794929504395
73,0.40146851539611816,0.41765639185905457
74,0.4057035446166992,0.423549622297287
75,0.4074728190898895,0.4268491566181183
76,0.4076133072376251,0.42590808868408203
77,0.4054012894630432,0.42458659410476685
78,0.4064839482307434,0.429595023393631
79,0.4083176553249359,0.43137654662132263
80,0.4041511118412018,0.42108723521232605
81,0.4056777060031891,0.4242262542247772
82,0.4061841070652008,0.4235369861125946
83,0.4068419933319092,0.41967636346817017
84,0.405424565076828,0.4214141070842743
85,0.4060637354850769,0.41956478357315063
86,0.4048072397708893,0.4229332208633423
87,0.4045884311199188,0.4228565990924835
88,0.4024573862552643,0.41572675108909607
89,0.4060175120830536,0.42050471901893616
90,0.4064587652683258,0.42569923400878906
91,0.40524688363075256,0.4223915636539459
92,0.40345707535743713,0.41767188906669617
93,0.4053592085838318,0.42152392864227295
94,0.4058116674423218,0.4240316152572632
95,0.40627336502075195,0.4233788549900055
96,0.4049883484840393,0.416486918926239
97,0.40745991468429565,0.4254995286464691
98,0.4130086898803711,0.4332190752029419
99,0.41403189301490784,0.4296080470085144
100,0.412389874458313,0.4294460117816925
101,0.4109920859336853,0.427295446395874
102,0.4118196666240692,0.4341316819190979
103,0.41127994656562805,0.4322926700115204
104,0.4104800224304199,0.42984363436698914
105,0.4116743803024292,0.4337557554244995
106,0.41157808899879456,0.43337851762771606
107,0.41155436635017395,0.429934561252594
108,0.4114682078361511,0.4307714104652405
109,0.41392982006073,0.44163036346435547
110,0.41161540150642395,0.4365994334220886
111,0.411371111869812,0.43528205156326294
112,0.4078148603439331,0.42220792174339294
113,0.4104295074939728,0.42829668521881104
114,0.4097479581832886,0.42909643054008484
115,0.41063880920410156,0.4236648678779602
116,0.4090580940246582,0.4215962588787079
117,0.41143229603767395,0.42714694142341614
118,0.411180317401886,0.42408332228660583
119,0.40952619910240173,0.42604848742485046
120,0.4122151732444763,0.42341169714927673
121,0.4150806665420532,0.43135347962379456
122,0.41680997610092163,0.43846893310546875
123,0.41952255368232727,0.4424954652786255
124,0.4194740653038025,0.44079238176345825
125,0.4195892810821533,0.43750980496406555
126,0.4215814769268036,0.43916723132133484
127,0.4197528660297394,0.436294287443161
128,0.41794446110725403,0.4363078474998474
129,0.4216401278972626,0.4501829147338867
130,0.4218430519104004,0.44988682866096497
131,0.42092910408973694,0.44753631949424744
132,0.4229453206062317,0.45012804865837097
133,0.4256395995616913,0.45957762002944946
134,0.42168501019477844,0.45292502641677856
135,0.42081940174102783,0.4467441439628601
136,0.42104578018188477,0.4431038200855255
137,0.42386847734451294,0.45026934146881104
138,0.42263391613960266,0.4468551278114319
139,0.422791451215744,0.44451144337654114
140,0.42590245604515076,0.4532961845397949
141,0.42341557145118713,0.4474247395992279
142,0.4244164526462555,0.45281609892845154
143,0.428851842880249,0.463138610124588
144,0.42303115129470825,0.4485570192337036
145,0.4295009970664978,0.45995140075683594
146,0.4316805601119995,0.4605187177658081
147,0.43057945370674133,0.4529593288898468
148,0.43086546659469604,0.4529445469379425
149,0.43627554178237915,0.4655044376850128
150,0.43275442719459534,0.45735710859298706
151,0.4311450123786926,0.4512139558792114
152,0.43004289269447327,0.45011579990386963
153,0.43317511677742004,0.46026095747947693
154,0.43626102805137634,0.465496301651001
155,0.4375886917114258,0.4647279679775238
156,0.44240880012512207,0.47273069620132446
157,0.4342072606086731,0.45583969354629517
158,0.43899840116500854,0.46799230575561523
159,0.43438592553138733,0.46058690547943115
160,0.4323806166648865,0.4550129175186157
161,0.43319782614707947,0.4555585980415344
162,0.433106929063797,0.4584138095378876
163,0.43212586641311646,0.4535056948661804
164,0.43187981843948364,0.45689529180526733
165,0.4329027235507965,0.45443195104599
