epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.517432,0.450354,0.584510,0.147832,0.590886,0.582115,0.599657,0.163559,0.759789,0.581423
1,0.481755,0.422878,0.540632,0.162194,0.564843,0.569947,0.559740,0.172821,0.740737,0.570042
2,0.467497,0.417197,0.517796,0.173369,0.557317,0.565159,0.549474,0.178548,0.731761,0.564696
3,0.456941,0.414012,0.499869,0.185637,0.543688,0.563694,0.523683,0.196314,0.729079,0.562722
4,0.449045,0.411764,0.486325,0.199267,0.534860,0.561170,0.508550,0.204734,0.725663,0.561744
5,0.442991,0.410345,0.475638,0.209184,0.533541,0.561183,0.505899,0.209455,0.725798,0.561049
6,0.438673,0.410637,0.466709,0.218676,0.526560,0.559756,0.493364,0.222300,0.722883,0.560216
7,0.434452,0.408054,0.460849,0.227328,0.522556,0.559412,0.485701,0.232968,0.722753,0.559936
8,0.432750,0.409710,0.455791,0.240386,0.520619,0.557765,0.483472,0.241597,0.719785,0.558201
9,0.429645,0.407549,0.451740,0.247460,0.518769,0.560609,0.476930,0.244123,0.723696,0.560592
10,0.428977,0.410268,0.447686,0.249208,0.517148,0.557526,0.476769,0.250063,0.719126,0.557698
11,0.426228,0.406928,0.445529,0.252714,0.513571,0.557652,0.469489,0.251830,0.717135,0.558068
12,0.426968,0.408888,0.445048,0.255822,0.512227,0.557186,0.467269,0.259532,0.717742,0.557521
13,0.424310,0.406317,0.442303,0.258783,0.513312,0.558857,0.467768,0.255447,0.721387,0.558768
14,0.423961,0.407151,0.440770,0.260368,0.513493,0.558500,0.468485,0.249046,0.716647,0.558257
15,0.423830,0.406909,0.440751,0.261768,0.511111,0.556455,0.465768,0.260960,0.713733,0.556837
16,0.422502,0.404896,0.440109,0.263840,0.513852,0.558221,0.469483,0.252969,0.717071,0.558319
17,0.422555,0.405151,0.439959,0.263297,0.512574,0.555816,0.469332,0.256451,0.713470,0.556439
18,0.423048,0.406422,0.439674,0.265646,0.511967,0.556768,0.467165,0.262385,0.713849,0.556834
19,0.422937,0.406003,0.439870,0.271159,0.512128,0.557777,0.466479,0.261968,0.716012,0.558443
20,0.422587,0.405328,0.439847,0.277805,0.511569,0.558104,0.465034,0.272876,0.716244,0.558277
