epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.645244,0.573192,0.717295,0.144943,0.790335,0.865615,0.715056,0.156125,1.601154,0.865915
1,0.634827,0.552620,0.717034,0.146856,0.786703,0.858525,0.714880,0.151559,1.587962,0.858367
2,0.632601,0.548198,0.717004,0.148334,0.785927,0.856742,0.715112,0.156401,1.589087,0.856451
3,0.631689,0.546187,0.717191,0.153471,0.785488,0.855994,0.714983,0.162127,1.590119,0.856266
4,0.630641,0.544332,0.716951,0.157945,0.785205,0.855180,0.715230,0.163925,1.588714,0.855035
5,0.630205,0.543141,0.717269,0.161294,0.785874,0.856631,0.715117,0.169051,1.592265,0.856619
6,0.629480,0.541844,0.717115,0.165449,0.784393,0.853627,0.715160,0.163729,1.585601,0.853909
7,0.629195,0.541140,0.717250,0.167298,0.784874,0.854673,0.715076,0.166407,1.588445,0.854482
8,0.628620,0.540343,0.716897,0.169089,0.785023,0.855114,0.714932,0.166050,1.587743,0.855095
9,0.628429,0.540030,0.716828,0.170764,0.785436,0.855889,0.714983,0.167773,1.587903,0.855733
0,0.645250,0.573204,0.717296,0.144850,0.790342,0.865625,0.715058,0.155750,1.601291,0.865927
1,0.634829,0.552624,0.717033,0.146064,0.786943,0.859018,0.714869,0.149143,1.590413,0.858861
2,0.632502,0.547996,0.717007,0.145405,0.785589,0.856074,0.715105,0.149734,1.587374,0.855799
3,0.631279,0.545419,0.717138,0.145950,0.784770,0.854520,0.715020,0.148128,1.584847,0.854804
4,0.630111,0.543269,0.716953,0.150551,0.784302,0.853457,0.715146,0.156996,1.587223,0.853320
5,0.629610,0.541963,0.717257,0.155168,0.783941,0.852828,0.715055,0.155904,1.584726,0.852800
6,0.628826,0.540575,0.717078,0.157196,0.784137,0.853194,0.715079,0.152480,1.584206,0.853475
7,0.628447,0.539641,0.717254,0.158508,0.784265,0.853407,0.715124,0.152894,1.589114,0.853227
8,0.627853,0.538694,0.717012,0.158328,0.784833,0.854648,0.715018,0.156084,1.587636,0.854617
0,0.645250,0.573204,0.717296,0.144850,0.790342,0.865625,0.715058,0.155750,1.601291,0.865927
1,0.634829,0.552624,0.717033,0.146064,0.786943,0.859018,0.714869,0.149143,1.590413,0.858861
2,0.632502,0.547996,0.717007,0.145405,0.785589,0.856074,0.715105,0.149734,1.587374,0.855799
3,0.631279,0.545419,0.717138,0.145950,0.784770,0.854520,0.715020,0.148128,1.584847,0.854804
4,0.630111,0.543269,0.716953,0.150551,0.784302,0.853457,0.715146,0.156996,1.587223,0.853320
5,0.629610,0.541963,0.717257,0.155168,0.783941,0.852828,0.715055,0.155904,1.584726,0.852800
6,0.628826,0.540575,0.717078,0.157196,0.784137,0.853194,0.715079,0.152480,1.584206,0.853475
7,0.628447,0.539641,0.717254,0.158508,0.784265,0.853407,0.715124,0.152894,1.589114,0.853227
8,0.627853,0.538694,0.717012,0.158328,0.784833,0.854648,0.715018,0.156084,1.587636,0.854617
0,0.645189,0.572903,0.717475,0.152932,0.790953,0.866488,0.715418,0.156285,1.603453,0.866259
1,0.635008,0.552686,0.717330,0.147942,0.787186,0.859235,0.715137,0.157331,1.594294,0.859360
2,0.632522,0.547971,0.717073,0.150007,0.786466,0.857802,0.715130,0.150203,1.592089,0.857793
3,0.631381,0.545591,0.717171,0.151271,0.786013,0.856907,0.715119,0.153825,1.593021,0.856753
4,0.630429,0.543811,0.717047,0.155099,0.785489,0.855929,0.715050,0.161229,1.591830,0.856325
5,0.629713,0.542024,0.717402,0.163592,0.785571,0.855857,0.715284,0.162017,1.588355,0.856086
6,0.629059,0.540910,0.717208,0.168426,0.786159,0.857137,0.715180,0.165105,1.592586,0.857372
7,0.628588,0.539910,0.717267,0.168141,0.785403,0.855688,0.715117,0.164121,1.589145,0.855709
8,0.628277,0.539416,0.717139,0.168551,0.785564,0.856044,0.715085,0.165877,1.591349,0.855904
9,0.627743,0.538309,0.717177,0.169323,0.784963,0.854795,0.715131,0.171128,1.589938,0.854890
10,0.627777,0.538294,0.717260,0.170402,0.785984,0.856864,0.715104,0.166276,1.591795,0.856736
11,0.627309,0.537382,0.717236,0.171379,0.786193,0.857078,0.715307,0.166828,1.597721,0.857115
12,0.627005,0.536759,0.717250,0.171529,0.784889,0.854700,0.715079,0.169155,1.590249,0.854437
13,0.626531,0.536088,0.716973,0.170966,0.785254,0.855533,0.714975,0.164631,1.593503,0.855270
14,0.626573,0.535956,0.717190,0.170233,0.785939,0.856824,0.715055,0.167284,1.594591,0.856835
15,0.626245,0.535466,0.717023,0.170554,0.786591,0.858239,0.714944,0.164576,1.598922,0.858168
0,0.645384,0.573599,0.717169,0.152962,0.790342,0.865537,0.715147,0.154768,1.600249,0.865311
1,0.635245,0.553306,0.717183,0.142581,0.787093,0.859087,0.715098,0.140587,1.589723,0.858398
2,0.632803,0.548505,0.717102,0.139633,0.785552,0.856161,0.714943,0.142118,1.588580,0.856313
3,0.630885,0.544663,0.717108,0.142335,0.785122,0.855097,0.715146,0.146469,1.590175,0.855333
4,0.629962,0.542760,0.717164,0.143400,0.786551,0.858090,0.715012,0.139947,1.598300,0.858299
5,0.629504,0.541802,0.717205,0.147905,0.785491,0.856018,0.714965,0.151490,1.593889,0.855816
6,0.628756,0.540439,0.717073,0.149925,0.785524,0.856135,0.714913,0.147868,1.594496,0.856195
