epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.487729,0.487729,1.000000,0.689130,0.689130,0.000000,0.000000,1.059371,0.683844
1,0.458406,0.458406,1.000000,0.671966,0.671966,0.000000,0.000000,1.040836,0.672021
2,0.451298,0.451298,1.000000,0.662101,0.662101,0.000000,0.000000,1.032356,0.667635
3,0.448154,0.448154,1.000000,0.658081,0.658081,0.000000,0.000000,1.027449,0.665163
4,0.446118,0.446118,1.000000,0.661828,0.661828,0.000000,0.000000,1.026208,0.664353
5,0.444923,0.444923,1.000000,0.655311,0.655311,0.000000,0.000000,1.023879,0.663281
6,0.443889,0.443889,1.000000,0.666953,0.666953,0.000000,0.000000,1.024374,0.662678
7,0.443148,0.443148,1.000000,0.664370,0.664370,0.000000,0.000000,1.025719,0.663861
8,0.442516,0.442516,1.000000,0.656164,0.656164,0.000000,0.000000,1.020756,0.661655
0,0.481226,0.481226,1.000000,0.672248,0.672248,0.000000,0.000000,1.048323,0.677866
1,0.455361,0.455361,1.000000,0.664724,0.664724,0.000000,0.000000,1.033664,0.668478
2,0.449972,0.449972,1.000000,0.672872,0.672872,0.000000,0.000000,1.028084,0.666220
3,0.447043,0.447043,1.000000,0.670112,0.670112,0.000000,0.000000,1.023479,0.663016
4,0.445648,0.445648,1.000000,0.662890,0.662890,0.000000,0.000000,1.024272,0.663844
5,0.444383,0.444383,1.000000,0.669179,0.669179,0.000000,0.000000,1.025115,0.663357
6,0.443287,0.443287,1.000000,0.660641,0.660641,0.000000,0.000000,1.022825,0.663229
7,0.442718,0.442718,1.000000,0.658022,0.658022,0.000000,0.000000,1.025364,0.664499
8,0.442069,0.442069,1.000000,0.670479,0.670479,0.000000,0.000000,1.026446,0.664085
9,0.441735,0.441735,1.000000,0.675664,0.675664,0.000000,0.000000,1.026167,0.664047
10,0.441215,0.441215,1.000000,0.660703,0.660703,0.000000,0.000000,1.026643,0.664043
0,0.482885,0.482885,1.000000,0.684619,0.684619,0.000000,0.000000,1.051374,0.678914
1,0.454953,0.454953,1.000000,0.664541,0.664541,0.000000,0.000000,1.032774,0.668451
2,0.449722,0.449722,1.000000,0.668274,0.668274,0.000000,0.000000,1.030019,0.665960
3,0.447041,0.447041,1.000000,0.665948,0.665948,0.000000,0.000000,1.028549,0.664931
4,0.445465,0.445465,1.000000,0.660077,0.660077,0.000000,0.000000,1.026520,0.663860
5,0.444034,0.444034,1.000000,0.671817,0.671817,0.000000,0.000000,1.026703,0.664578
6,0.443156,0.443156,1.000000,0.658158,0.658158,0.000000,0.000000,1.023181,0.662425
7,0.442497,0.442497,1.000000,0.659364,0.659364,0.000000,0.000000,1.023819,0.663257
8,0.441972,0.441972,1.000000,0.653928,0.653928,0.000000,0.000000,1.019373,0.660716
9,0.441680,0.441680,1.000000,0.659654,0.659654,0.000000,0.000000,1.021294,0.661678
10,0.440950,0.440950,1.000000,0.654758,0.654758,0.000000,0.000000,1.020285,0.661979
11,0.440641,0.440641,1.000000,0.657531,0.657531,0.000000,0.000000,1.019749,0.661848
