h,mae,mse
1,0.16366291046142578,0.0692615881562233
2,0.18718832731246948,0.08653920143842697
3,0.20412087440490723,0.10072464495897293
4,0.21443377435207367,0.11032867431640625
5,0.2244553416967392,0.12034681439399719
6,0.23263514041900635,0.12862429022789001
7,0.23568284511566162,0.13389542698860168
8,0.2422349601984024,0.1412368267774582
9,0.24576184153556824,0.14682802557945251
10,0.24965214729309082,0.15281237661838531
11,0.2519835829734802,0.15674658119678497
12,0.25391656160354614,0.16098013520240784
13,0.2580621540546417,0.1670113056898117
14,0.261116623878479,0.1716742068529129
15,0.2622641324996948,0.1752893477678299
16,0.26385101675987244,0.17836572229862213
17,0.26633891463279724,0.18209388852119446
18,0.2661305367946625,0.1833130121231079
19,0.26857927441596985,0.18728424608707428
20,0.27099576592445374,0.1907729208469391
21,0.27261242270469666,0.1956455260515213
22,0.27300795912742615,0.1977156698703766
23,0.274270236492157,0.19978587329387665
24,0.27531570196151733,0.20188996195793152
25,0.28327497839927673,0.20901651680469513
26,0.28988006711006165,0.2166849970817566
27,0.294057697057724,0.22131885588169098
28,0.29719555377960205,0.22560660541057587
29,0.3012756109237671,0.2312779426574707
30,0.3035699129104614,0.23519614338874817
31,0.30595913529396057,0.238036647439003
32,0.30930864810943604,0.243430957198143
33,0.30997931957244873,0.24543605744838715
34,0.3120667040348053,0.24934029579162598
35,0.3128011226654053,0.2503150403499603
36,0.31417083740234375,0.2524319887161255
37,0.3166804909706116,0.256812185049057
38,0.31866803765296936,0.2591896951198578
39,0.31951048970222473,0.2610025405883789
40,0.3201703131198883,0.26191702485084534
41,0.32147181034088135,0.26372188329696655
42,0.3232153058052063,0.26700732111930847
43,0.32477042078971863,0.2698167860507965
44,0.32764145731925964,0.27385199069976807
45,0.32754743099212646,0.27600836753845215
46,0.3272804915904999,0.2763688266277313
47,0.3290352523326874,0.2791711091995239
48,0.33142128586769104,0.28292474150657654
49,0.3347923755645752,0.2857792377471924
50,0.3389599323272705,0.2901674807071686
51,0.3424166738986969,0.2949138581752777
52,0.3447469174861908,0.2989727556705475
53,0.3461785316467285,0.3036642372608185
54,0.3477260172367096,0.3078373968601227
