loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.429195,0.407957,0.428059,127.48 M Ops,13.27 M Ops,12.21 M Ops,0.5612 M,0.4771 %,68.12 uJ,0.554279,0.518394,0.739369
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.430545,0.409529,0.429414,127.48 M Ops,12.76 M Ops,12.64 M Ops,0.5612 M,0.4858 %,69.65 uJ,0.560649,0.522326,0.738365
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.429729,0.407619,0.428617,127.48 M Ops,12.66 M Ops,12.64 M Ops,0.5612 M,0.4893 %,69.56 uJ,0.558127,0.521234,0.739585
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.429871,0.408029,0.428758,127.48 M Ops,14.26 M Ops,4.39 M Ops,0.5612 M,0.4308 %,33.02 uJ,0.559284,0.521301,0.739323
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.430415,0.408438,0.429292,127.48 M Ops,13.29 M Ops,4.39 M Ops,0.5612 M,0.4235 %,32.14 uJ,0.558168,0.520955,0.739061
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.430833,0.408581,0.429717,127.48 M Ops,13.43 M Ops,4.39 M Ops,0.5612 M,0.4228 %,32.26 uJ,0.559301,0.522054,0.738971
