h,mae,mse
1,0.16886575520038605,0.07093846797943115
2,0.18999406695365906,0.08804734796285629
3,0.20626983046531677,0.10226469486951828
4,0.21428310871124268,0.11036045849323273
5,0.22324182093143463,0.11929383128881454
6,0.23044462502002716,0.12664411962032318
7,0.23481345176696777,0.13303431868553162
8,0.23951455950737,0.13933828473091125
9,0.24334895610809326,0.1448720544576645
10,0.24655959010124207,0.15001671016216278
11,0.24977731704711914,0.15460993349552155
12,0.2511062026023865,0.1578461080789566
13,0.25538426637649536,0.1646152287721634
14,0.2570939362049103,0.16863106191158295
15,0.2588562071323395,0.17179140448570251
16,0.2597925066947937,0.17466053366661072
17,0.2629125416278839,0.17939060926437378
18,0.2636031210422516,0.18179616332054138
19,0.26644665002822876,0.1861565113067627
20,0.26765012741088867,0.18928582966327667
21,0.2687153220176697,0.19163866341114044
22,0.26956677436828613,0.19347918033599854
23,0.27147939801216125,0.19619935750961304
24,0.2727016806602478,0.19724057614803314
25,0.280028373003006,0.20623618364334106
26,0.2850859761238098,0.21218200027942657
27,0.28968942165374756,0.2174685001373291
28,0.29246997833251953,0.22264769673347473
29,0.29612597823143005,0.22724057734012604
30,0.29735735058784485,0.22896456718444824
31,0.29966336488723755,0.2322748601436615
32,0.3014586567878723,0.23406928777694702
33,0.30293160676956177,0.2369738668203354
34,0.3041290044784546,0.23949261009693146
35,0.3043990731239319,0.23966680467128754
36,0.30473628640174866,0.24032378196716309
37,0.3071698844432831,0.2449301779270172
38,0.3093147277832031,0.24786078929901123
39,0.3095734119415283,0.24752692878246307
40,0.3098999261856079,0.24912197887897491
41,0.3111041486263275,0.2502993941307068
42,0.31221574544906616,0.2517733573913574
43,0.31389689445495605,0.25409433245658875
44,0.314738929271698,0.25633329153060913
45,0.3153252601623535,0.25722748041152954
46,0.31424087285995483,0.2560771405696869
47,0.31518539786338806,0.2573947012424469
48,0.3163922429084778,0.25866878032684326
49,0.3202938139438629,0.2644452154636383
50,0.32332196831703186,0.26680073142051697
51,0.3263194262981415,0.27017608284950256
52,0.32649004459381104,0.27185046672821045
53,0.3289247751235962,0.27534615993499756
54,0.33112722635269165,0.27817365527153015
55,0.3325595557689667,0.2798592746257782
56,0.33260661363601685,0.27969890832901
57,0.3325198292732239,0.2802179753780365
58,0.3320480287075043,0.28026083111763
59,0.33321085572242737,0.2829776108264923
60,0.3346863389015198,0.28501972556114197
61,0.33604514598846436,0.2869413495063782
62,0.33557868003845215,0.2852402329444885
63,0.33513227105140686,0.2841595411300659
64,0.3354186415672302,0.2854120135307312
65,0.336765319108963,0.2877199053764343
66,0.33823084831237793,0.2876688539981842
67,0.339387446641922,0.28918954730033875
68,0.33877086639404297,0.28867006301879883
69,0.33858025074005127,0.28893446922302246
70,0.33850592374801636,0.2891973555088043
71,0.3393915891647339,0.2897847592830658
72,0.34099167585372925,0.2916739583015442
73,0.3440103232860565,0.29519757628440857
74,0.3440810441970825,0.29422199726104736
75,0.3450143337249756,0.2959353029727936
76,0.3455895483493805,0.2971400320529938
77,0.34712520241737366,0.2989993393421173
78,0.3488655686378479,0.2993265986442566
79,0.3493562638759613,0.29991278052330017
80,0.349446564912796,0.2997552752494812
81,0.3490754961967468,0.2999284863471985
82,0.34839344024658203,0.3006255328655243
83,0.3488820791244507,0.30037209391593933
84,0.34953004121780396,0.3012511134147644
85,0.3498315215110779,0.3030617833137512
86,0.3495193421840668,0.301910936832428
87,0.3492303788661957,0.30103909969329834
88,0.34881454706192017,0.30216172337532043
89,0.3490760326385498,0.3025141656398773
90,0.34966421127319336,0.3015083968639374
91,0.34949547052383423,0.3020656704902649
92,0.3494904339313507,0.3025067448616028
93,0.3484136760234833,0.3018379211425781
94,0.34837841987609863,0.30195316672325134
95,0.3492368161678314,0.3023555278778076
96,0.349808007478714,0.3025849163532257
97,0.3509538769721985,0.3048013150691986
98,0.35127881169319153,0.30513787269592285
99,0.3515615165233612,0.3066712021827698
100,0.3508196473121643,0.3070136308670044
101,0.3520103096961975,0.30844756960868835
102,0.35261571407318115,0.30715930461883545
103,0.35398802161216736,0.3092709481716156
104,0.35354915261268616,0.30879899859428406
105,0.3534816801548004,0.30960240960121155
106,0.35375601053237915,0.31140896677970886
107,0.354900062084198,0.31270265579223633
108,0.3541412949562073,0.31182050704956055
109,0.3553856313228607,0.31388068199157715
110,0.35612064599990845,0.31444618105888367
111,0.3563021123409271,0.3151465058326721
112,0.3579471707344055,0.317847341299057
113,0.3586108386516571,0.3192186653614044
114,0.358650267124176,0.3175884187221527
115,0.3590417504310608,0.3183287978172302
116,0.3594364523887634,0.32031160593032837
117,0.35888561606407166,0.32048946619033813
118,0.3595208525657654,0.32060322165489197
119,0.36050355434417725,0.3221694231033325
120,0.3600423038005829,0.32126757502555847
121,0.3623582422733307,0.3251928389072418
122,0.36429810523986816,0.32887330651283264
123,0.3665175139904022,0.33110374212265015
124,0.3667980134487152,0.3338850438594818
125,0.3685067594051361,0.33529984951019287
126,0.36938273906707764,0.33620426058769226
127,0.3698468506336212,0.3378169536590576
128,0.3709821403026581,0.33908137679100037
129,0.3711792528629303,0.3398304283618927
130,0.37196141481399536,0.34265291690826416
131,0.3728165626525879,0.3438907861709595
132,0.37312689423561096,0.3436969518661499
133,0.3740304410457611,0.34528955817222595
134,0.37545791268348694,0.34731918573379517
135,0.37598633766174316,0.34698420763015747
136,0.37641599774360657,0.3488572835922241
137,0.37738803029060364,0.350739985704422
138,0.3780902326107025,0.35127881169319153
139,0.3791414201259613,0.35160842537879944
140,0.3798234760761261,0.3533645570278168
141,0.38002803921699524,0.3544237017631531
142,0.379861444234848,0.35361817479133606
143,0.380733460187912,0.3553127646446228
144,0.3796349763870239,0.3541961908340454
145,0.38213998079299927,0.3568271994590759
146,0.3844301104545593,0.3611392378807068
147,0.3857472836971283,0.3626328408718109
148,0.3866511881351471,0.3654758036136627
149,0.38801559805870056,0.36729100346565247
150,0.38873401284217834,0.3685641884803772
151,0.38900765776634216,0.3687419891357422
152,0.3893730044364929,0.36999809741973877
153,0.38937345147132874,0.36906909942626953
154,0.3894363045692444,0.37098097801208496
155,0.3902844786643982,0.37203019857406616
156,0.3898467719554901,0.37176764011383057
157,0.39058923721313477,0.37153616547584534
158,0.3911460340023041,0.37396883964538574
159,0.39186275005340576,0.3745134770870209
160,0.3914826810359955,0.3739718794822693
161,0.39224186539649963,0.37598854303359985
162,0.39221659302711487,0.37479522824287415
163,0.39262810349464417,0.37480810284614563
164,0.39247047901153564,0.3747723698616028
165,0.3924298584461212,0.3753618597984314
166,0.39186352491378784,0.3744223415851593
167,0.3921593427658081,0.37600937485694885
168,0.39251574873924255,0.3753109276294708
