loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.426796,0.455936,0.426748,136.12 M Ops,21.26 M Ops,4.64 M Ops,0.5633 M,0.5028 %,40.50 uJ,0.535990,0.468897,0.587290
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.428457,0.459296,0.428401,136.12 M Ops,22.23 M Ops,4.64 M Ops,0.5633 M,0.5374 %,41.38 uJ,0.539574,0.471343,0.584248
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.435848,0.481334,0.435798,136.12 M Ops,18.38 M Ops,12.82 M Ops,0.5633 M,0.5152 %,75.50 uJ,0.562166,0.476584,0.564300
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.427255,0.457277,0.427207,136.12 M Ops,18.02 M Ops,12.90 M Ops,0.5633 M,0.5530 %,75.57 uJ,0.538453,0.469989,0.586076
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.429422,0.462950,0.429341,136.12 M Ops,20.33 M Ops,4.64 M Ops,0.5633 M,0.5087 %,39.66 uJ,0.546024,0.472279,0.580941
