epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.438613,0.452571,0.415183,0.114794,0.415239,0.554459,0.181548,0.139046,0.706654,0.554506
1,0.320288,0.431232,0.134063,0.157605,0.381150,0.545203,0.105776,0.175955,0.689264,0.545206
2,0.301279,0.424713,0.094086,0.186596,0.372048,0.542759,0.085497,0.195333,0.686457,0.542823
3,0.294854,0.421583,0.082130,0.201435,0.370989,0.546266,0.076774,0.211749,0.688648,0.546266
4,0.290414,0.419508,0.073720,0.215398,0.366495,0.541909,0.072050,0.219871,0.681180,0.541934
5,0.289386,0.418675,0.072365,0.222332,0.367999,0.543678,0.073110,0.222137,0.682679,0.543714
6,0.288289,0.418107,0.070381,0.237442,0.362787,0.539119,0.066802,0.245530,0.678353,0.539163
7,0.285360,0.417178,0.064094,0.250751,0.361448,0.540808,0.060379,0.254639,0.678955,0.540873
8,0.283619,0.416614,0.060376,0.260460,0.360584,0.539626,0.060049,0.265598,0.678510,0.539635
9,0.283289,0.415889,0.060710,0.266872,0.360438,0.540069,0.058914,0.260896,0.677598,0.540139
