h,mae,mse
1,0.23083719611167908,0.12327491492033005
2,0.27735722064971924,0.18070045113563538
3,0.3068389892578125,0.22566406428813934
4,0.32805001735687256,0.26008087396621704
5,0.3383248448371887,0.28040221333503723
6,0.34474560618400574,0.2930022180080414
7,0.34931036829948425,0.30251848697662354
8,0.3510194420814514,0.3049742579460144
9,0.3519488275051117,0.3050878643989563
10,0.3534663915634155,0.306618332862854
11,0.3550161123275757,0.31056755781173706
12,0.35393190383911133,0.3079052269458771
13,0.35370779037475586,0.30841827392578125
14,0.355082631111145,0.30961906909942627
15,0.35733500123023987,0.31425589323043823
16,0.35579758882522583,0.3089616298675537
17,0.3546004295349121,0.3071669042110443
18,0.3546615242958069,0.30852386355400085
19,0.35441872477531433,0.3088403642177582
20,0.35371580719947815,0.30549412965774536
21,0.3545815944671631,0.3052295446395874
22,0.35633912682533264,0.30635181069374084
23,0.3556596338748932,0.30705544352531433
24,0.3555992543697357,0.30716824531555176
25,0.36371034383773804,0.31997179985046387
26,0.36981919407844543,0.3328894078731537
27,0.37512436509132385,0.34568139910697937
28,0.3784949481487274,0.35096505284309387
29,0.38100573420524597,0.35723379254341125
30,0.382974237203598,0.3616687059402466
31,0.3829032778739929,0.3636320233345032
32,0.3826730251312256,0.3605557978153229
33,0.38273701071739197,0.36134886741638184
34,0.3841032087802887,0.36313825845718384
35,0.3863691985607147,0.3690798580646515
36,0.3829868733882904,0.3628701865673065
37,0.38234493136405945,0.36172181367874146
38,0.3824579119682312,0.36110803484916687
39,0.38386863470077515,0.36519718170166016
40,0.3833766579627991,0.36187657713890076
41,0.38200682401657104,0.3596711754798889
42,0.38107940554618835,0.35867252945899963
43,0.3834861218929291,0.3636370897293091
44,0.38245072960853577,0.3595333695411682
45,0.3823830485343933,0.3593868315219879
46,0.38289931416511536,0.3614334166049957
47,0.38466212153434753,0.3644876778125763
48,0.3835436999797821,0.3628406822681427
49,0.39041444659233093,0.37203556299209595
50,0.3959307372570038,0.3839857876300812
51,0.4004691541194916,0.39573031663894653
52,0.4026850163936615,0.4011591076850891
53,0.40252360701560974,0.40119898319244385
54,0.403319776058197,0.40179210901260376
55,0.40412139892578125,0.4055487811565399
56,0.4037970006465912,0.403764009475708
57,0.4034065902233124,0.402619332075119
58,0.4041249752044678,0.4050593972206116
59,0.4049352705478668,0.4080038368701935
60,0.40472212433815,0.4069994390010834
61,0.40443819761276245,0.40653008222579956
62,0.4051911532878876,0.40998199582099915
63,0.40615707635879517,0.415081262588501
64,0.4057541489601135,0.41161489486694336
65,0.40519681572914124,0.4110807776451111
66,0.4057014584541321,0.4089469611644745
67,0.4061327576637268,0.41184133291244507
68,0.40523427724838257,0.40742969512939453
69,0.4053370952606201,0.407779335975647
70,0.4048198163509369,0.40870028734207153
71,0.40581420063972473,0.40959596633911133
72,0.4055350422859192,0.4087347090244293
73,0.4089106321334839,0.41448652744293213
74,0.4126078486442566,0.4218011796474457
75,0.41485247015953064,0.4301408529281616
76,0.41673699021339417,0.43110233545303345
77,0.4180346131324768,0.43253472447395325
78,0.41650599241256714,0.4323546290397644
79,0.4182419776916504,0.43540439009666443
80,0.4184747040271759,0.4347486197948456
81,0.41845008730888367,0.43501919507980347
82,0.4187343120574951,0.4355033338069916
83,0.420490026473999,0.4395751953125
84,0.4206357002258301,0.4397781789302826
85,0.41947630047798157,0.4360847473144531
86,0.41958194971084595,0.43666282296180725
87,0.4209868609905243,0.44211241602897644
88,0.42065247893333435,0.4384153187274933
89,0.4194067716598511,0.43621546030044556
90,0.41972240805625916,0.4384365677833557
91,0.42221716046333313,0.4438319206237793
92,0.4208526313304901,0.44058603048324585
93,0.4195907711982727,0.43682998418807983
94,0.4197428822517395,0.4376479983329773
95,0.4215586483478546,0.44270583987236023
96,0.41943493485450745,0.4385865330696106
97,0.4219689667224884,0.4427277147769928
98,0.4236341416835785,0.4444624185562134
99,0.42582252621650696,0.45208650827407837
100,0.4269721210002899,0.4500834345817566
101,0.4274897873401642,0.4513169229030609
102,0.4281572997570038,0.4536348581314087
103,0.4285922646522522,0.4569522738456726
104,0.42797014117240906,0.45202600955963135
105,0.4280545711517334,0.45186716318130493
106,0.42792224884033203,0.45105046033859253
107,0.4300224781036377,0.4567611813545227
108,0.427968829870224,0.45061835646629333
109,0.4274587631225586,0.45015206933021545
110,0.42812052369117737,0.45119282603263855
111,0.42909443378448486,0.4555742144584656
112,0.4273718297481537,0.4496689736843109
113,0.42683109641075134,0.44838255643844604
114,0.4265368580818176,0.44683122634887695
115,0.428594708442688,0.45142245292663574
116,0.42634308338165283,0.4466803967952728
117,0.42647093534469604,0.4450397789478302
118,0.42711248993873596,0.44775915145874023
119,0.43003806471824646,0.45639047026634216
120,0.42913445830345154,0.4542750418186188
121,0.4331511855125427,0.4625166058540344
122,0.43625640869140625,0.4645689129829407
123,0.43798571825027466,0.4672863185405731
124,0.43941882252693176,0.4703398644924164
125,0.43920260667800903,0.47100064158439636
126,0.43876782059669495,0.47101908922195435
127,0.43979373574256897,0.47399988770484924
128,0.4401094615459442,0.4712819457054138
129,0.4415227174758911,0.47612038254737854
130,0.4403248429298401,0.47326523065567017
131,0.4420660138130188,0.47856906056404114
132,0.4418834447860718,0.47551533579826355
133,0.4415651857852936,0.4754805266857147
134,0.4418771266937256,0.4750286638736725
135,0.44440725445747375,0.48099762201309204
136,0.44336217641830444,0.4792717695236206
137,0.4442537724971771,0.48093920946121216
138,0.442497193813324,0.4799013137817383
139,0.44568848609924316,0.4864652156829834
140,0.4449378550052643,0.48144808411598206
141,0.44572511315345764,0.48068127036094666
142,0.4460432827472687,0.48217567801475525
143,0.4473406672477722,0.48858559131622314
144,0.44529303908348083,0.48306602239608765
145,0.4487684667110443,0.4895813465118408
146,0.4506032466888428,0.49240487813949585
147,0.45159024000167847,0.49291834235191345
148,0.4536741375923157,0.49663540720939636
149,0.45559337735176086,0.5003224611282349
150,0.4553763270378113,0.5019694566726685
151,0.4555584490299225,0.5038164258003235
152,0.4552699029445648,0.5005009174346924
153,0.45643654465675354,0.5021868348121643
154,0.45786115527153015,0.5030453205108643
155,0.4580978453159332,0.5058251023292542
156,0.4567585289478302,0.501340925693512
157,0.45637062191963196,0.5004109740257263
158,0.45671024918556213,0.4989367425441742
159,0.45672932267189026,0.5009763836860657
160,0.45663705468177795,0.4984522759914398
161,0.45539718866348267,0.4960096478462219
162,0.4550038278102875,0.498223215341568
163,0.4589749872684479,0.5054047107696533
164,0.45695364475250244,0.4998101592063904
165,0.45574232935905457,0.49685946106910706
166,0.4567788541316986,0.4996226727962494
167,0.458087295293808,0.5048989057540894
168,0.4586849510669708,0.5068917274475098
169,0.46047309041023254,0.5099064707756042
170,0.46377241611480713,0.5174657106399536
171,0.46750113368034363,0.5253635048866272
172,0.4670059084892273,0.5228221416473389
173,0.46635863184928894,0.5241906046867371
174,0.4675164818763733,0.5247554779052734
175,0.46724826097488403,0.5286145210266113
176,0.4701612591743469,0.5304593443870544
177,0.47100868821144104,0.5305121541023254
178,0.4733428657054901,0.5343366861343384
179,0.4764661490917206,0.5430124998092651
180,0.47100695967674255,0.5296422243118286
181,0.4693339169025421,0.5266510844230652
182,0.467129111289978,0.5221824049949646
183,0.46988746523857117,0.5299308896064758
184,0.4660232961177826,0.5155152082443237
185,0.4679080843925476,0.523518443107605
186,0.46609875559806824,0.51700758934021
187,0.4686620235443115,0.5265645384788513
188,0.46590980887413025,0.5177767872810364
189,0.46464526653289795,0.5107006430625916
190,0.46460506319999695,0.5105212330818176
191,0.4648984968662262,0.5177744030952454
192,0.46247580647468567,0.51670902967453
