epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.361929,0.482304,0.241553,0.136192,0.372721,0.662282,0.083161,0.170894,1.011168,0.662283
1,0.266628,0.465969,0.067287,0.184392,0.358700,0.658823,0.058576,0.184090,1.000615,0.658791
2,0.258269,0.460656,0.055882,0.190506,0.352949,0.652974,0.052924,0.190983,0.990120,0.653007
3,0.255201,0.458359,0.052044,0.192928,0.351001,0.652748,0.049254,0.189713,0.987229,0.652816
4,0.253169,0.456997,0.049341,0.193474,0.350405,0.653107,0.047702,0.192263,0.986619,0.653093
5,0.251925,0.456065,0.047785,0.194369,0.348852,0.651312,0.046391,0.189242,0.984241,0.651339
6,0.251163,0.455410,0.046916,0.193843,0.349574,0.653610,0.045539,0.191349,0.983883,0.653608
7,0.250089,0.454743,0.045434,0.198287,0.347605,0.650898,0.044312,0.198080,0.982512,0.651013
8,0.248918,0.453975,0.043861,0.202854,0.346680,0.650887,0.042474,0.200113,0.981607,0.650940
9,0.248301,0.453524,0.043078,0.204078,0.347470,0.652317,0.042624,0.200850,0.979294,0.652318
10,0.247670,0.452722,0.042618,0.205366,0.347169,0.653056,0.041282,0.202202,0.982703,0.653053
11,0.246746,0.452088,0.041404,0.206328,0.346358,0.652344,0.040372,0.202594,0.983365,0.652390
