epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.623227,0.574645,0.635372,0.087605,0.564652,0.881874,0.485346,0.109262,1.645915,0.882193
1,0.425689,0.556008,0.393109,0.118474,0.434888,0.872419,0.325505,0.134416,1.624448,0.872259
2,0.337380,0.550817,0.284021,0.134224,0.377426,0.865951,0.255294,0.140196,1.613426,0.865685
3,0.295761,0.547566,0.232810,0.140323,0.360007,0.864446,0.233897,0.139608,1.612226,0.864735
4,0.261523,0.543731,0.190971,0.155043,0.302645,0.862205,0.162754,0.165815,1.603503,0.862047
5,0.220807,0.540947,0.140772,0.170725,0.278498,0.864737,0.131939,0.173435,1.611972,0.864733
6,0.207836,0.538656,0.125132,0.176762,0.267015,0.856726,0.119587,0.178211,1.601563,0.857001
7,0.198933,0.536737,0.114482,0.182257,0.259458,0.862975,0.108579,0.185220,1.614110,0.862770
8,0.192051,0.534772,0.106371,0.186050,0.254709,0.861728,0.102954,0.187952,1.611816,0.861662
9,0.187822,0.533064,0.101511,0.190713,0.249296,0.859228,0.096813,0.192740,1.601102,0.859032
0,0.619332,0.572761,0.630975,0.082868,0.553863,0.878346,0.472743,0.106849,1.637180,0.878123
1,0.428535,0.553600,0.397268,0.110030,0.462933,0.869069,0.361399,0.120679,1.616600,0.868403
2,0.359375,0.548097,0.312194,0.122051,0.405729,0.864691,0.290989,0.125349,1.612116,0.864851
3,0.313514,0.544214,0.255839,0.128336,0.374131,0.863692,0.251740,0.128789,1.610837,0.863924
4,0.270325,0.541912,0.202429,0.142313,0.320830,0.862622,0.185382,0.150059,1.606781,0.862819
5,0.230451,0.539872,0.153096,0.159660,0.281680,0.858926,0.137369,0.166252,1.604883,0.858725
6,0.208261,0.538124,0.125795,0.169478,0.266326,0.858701,0.118232,0.174343,1.603483,0.858747
7,0.199270,0.536445,0.114977,0.174461,0.259960,0.860950,0.109713,0.176065,1.608048,0.860943
8,0.192820,0.535265,0.107208,0.177407,0.253490,0.860461,0.101747,0.179844,1.606002,0.860195
9,0.187475,0.534254,0.100780,0.180595,0.250161,0.860434,0.097593,0.183827,1.606050,0.860455
0,0.621698,0.573124,0.633842,0.086964,0.555608,0.880951,0.474272,0.111447,1.643495,0.880731
1,0.419956,0.554060,0.386430,0.115894,0.443678,0.868302,0.337521,0.129563,1.614115,0.868453
2,0.343804,0.547431,0.292898,0.127220,0.405963,0.869722,0.290023,0.126268,1.616097,0.869717
3,0.319124,0.543695,0.262981,0.131121,0.398936,0.860798,0.283471,0.134103,1.603480,0.860646
4,0.275229,0.540361,0.208946,0.150498,0.309210,0.858461,0.171898,0.167114,1.601302,0.858863
5,0.227927,0.537299,0.150584,0.169015,0.283266,0.858981,0.139337,0.174170,1.603677,0.859209
6,0.210724,0.534854,0.129692,0.178077,0.269619,0.859170,0.122231,0.179642,1.603603,0.859360
7,0.198790,0.533169,0.115195,0.183006,0.257398,0.856011,0.107745,0.186301,1.595621,0.856061
8,0.190808,0.531778,0.105566,0.185524,0.251440,0.854882,0.100579,0.182947,1.594398,0.854719
9,0.186975,0.530511,0.101091,0.187270,0.250404,0.858323,0.098425,0.188605,1.597828,0.858467
10,0.184620,0.529626,0.098369,0.190566,0.249794,0.862044,0.096731,0.191768,1.605620,0.861906
11,0.182448,0.528816,0.095856,0.193674,0.245103,0.857736,0.091945,0.195350,1.594931,0.857749
