h,mae,mse
1,0.2427588254213333,0.13451243937015533
2,0.29088979959487915,0.19780737161636353
3,0.3211626410484314,0.24475599825382233
4,0.3400081694126129,0.27658453583717346
5,0.3486245274543762,0.29541030526161194
6,0.35453101992607117,0.3079736828804016
7,0.35704073309898376,0.314664363861084
8,0.3565675914287567,0.31399932503700256
9,0.35698190331459045,0.31552231311798096
10,0.35969769954681396,0.3184255361557007
11,0.35906821489334106,0.3168236017227173
12,0.3567335307598114,0.31406834721565247
13,0.3568326532840729,0.3159984350204468
14,0.3599604666233063,0.31825077533721924
15,0.35904446244239807,0.3184177875518799
16,0.35870954394340515,0.31804051995277405
17,0.3598484694957733,0.32126739621162415
18,0.36076119542121887,0.3229951560497284
19,0.3575463891029358,0.31791794300079346
20,0.35692909359931946,0.3156936466693878
21,0.3557908833026886,0.31501325964927673
22,0.3560278117656708,0.31477272510528564
23,0.3562089502811432,0.31520864367485046
24,0.3560349941253662,0.3158378005027771
25,0.3663799464702606,0.3290931284427643
26,0.37375807762145996,0.3414963483810425
27,0.3797445595264435,0.35225990414619446
28,0.380150705575943,0.35366854071617126
29,0.37982335686683655,0.35733550786972046
30,0.38364776968955994,0.3626015782356262
31,0.38123995065689087,0.36117908358573914
32,0.37984395027160645,0.35815638303756714
33,0.38058900833129883,0.35922008752822876
34,0.3823467493057251,0.3628045618534088
35,0.38074132800102234,0.3606663644313812
36,0.3789677917957306,0.3591283857822418
37,0.37926870584487915,0.36259302496910095
38,0.37871626019477844,0.35752859711647034
39,0.37794363498687744,0.35714077949523926
40,0.3757116496562958,0.35387808084487915
41,0.37604182958602905,0.3554089367389679
42,0.376467764377594,0.3558029234409332
43,0.3762461245059967,0.35436928272247314
44,0.3752712607383728,0.35293474793434143
45,0.3747023046016693,0.352088987827301
46,0.37489184737205505,0.3519265651702881
47,0.3741863965988159,0.3508512079715729
48,0.37193772196769714,0.34737834334373474
49,0.3801405131816864,0.35974937677383423
50,0.38722720742225647,0.37348034977912903
51,0.39016836881637573,0.3792324960231781
52,0.3911423981189728,0.38268497586250305
53,0.3923918604850769,0.38777419924736023
54,0.3938101530075073,0.3946763873100281
55,0.3908855617046356,0.38754788041114807
56,0.39179056882858276,0.38937702775001526
57,0.39188331365585327,0.3903255760669708
58,0.39349228143692017,0.39548298716545105
59,0.394012451171875,0.39495882391929626
60,0.39388519525527954,0.398335725069046
61,0.3927512466907501,0.3985133171081543
62,0.39365169405937195,0.39816248416900635
63,0.3926103413105011,0.39683884382247925
64,0.3922058045864105,0.39522749185562134
65,0.39256614446640015,0.39756596088409424
