epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.593238,0.557078,0.602278,0.084505,0.512007,0.547921,0.503028,0.104925,0.634871,0.547890
1,0.432063,0.547928,0.403097,0.103463,0.381446,0.544345,0.340721,0.117688,0.627548,0.544340
2,0.321989,0.544385,0.266390,0.116711,0.297452,0.542667,0.236149,0.130262,0.626390,0.542588
3,0.267625,0.541632,0.199123,0.127085,0.261752,0.539944,0.192204,0.141665,0.621065,0.539827
4,0.245083,0.539484,0.171482,0.134286,0.246725,0.538996,0.173657,0.149020,0.620593,0.538869
5,0.234927,0.538480,0.159038,0.141407,0.239460,0.542834,0.163616,0.159326,0.630661,0.542956
6,0.228718,0.537504,0.151522,0.148626,0.232843,0.540977,0.155810,0.164526,0.626428,0.541031
0,0.593788,0.556662,0.603070,0.087085,0.510549,0.548780,0.500991,0.107527,0.635026,0.548625
1,0.437112,0.547746,0.409453,0.105505,0.381424,0.545378,0.340435,0.122732,0.632879,0.545701
2,0.321759,0.544871,0.265981,0.121033,0.296518,0.543614,0.234744,0.133335,0.629798,0.543697
3,0.268614,0.542341,0.200182,0.131226,0.264938,0.544276,0.195103,0.144644,0.632410,0.544285
4,0.248287,0.540489,0.175236,0.139617,0.250817,0.539120,0.178742,0.153924,0.620752,0.539368
5,0.238399,0.539967,0.163007,0.146492,0.241672,0.538661,0.167425,0.159520,0.619042,0.538802
6,0.231721,0.538616,0.154997,0.152386,0.237063,0.542106,0.160802,0.168231,0.628914,0.542028
7,0.226500,0.536702,0.148950,0.159059,0.231982,0.542938,0.154243,0.174427,0.630332,0.543063
0,0.598657,0.556554,0.609182,0.077846,0.515858,0.545999,0.508323,0.097673,0.628852,0.545726
1,0.433434,0.547296,0.404968,0.098126,0.373282,0.543663,0.330686,0.115629,0.626207,0.543079
2,0.318554,0.544914,0.261964,0.115834,0.295227,0.544517,0.232905,0.129934,0.631695,0.544385
3,0.267601,0.541548,0.199114,0.126946,0.263130,0.540030,0.193905,0.138750,0.622412,0.540252
4,0.245732,0.540838,0.171956,0.134462,0.247252,0.543906,0.173088,0.148732,0.632374,0.543810
5,0.233239,0.538411,0.156946,0.142461,0.237104,0.541143,0.161094,0.153933,0.624057,0.540720
