epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.393157,0.443774,0.226844,0.171656,0.435031,0.545055,0.073522,0.214715,0.690922,0.545103
1,0.338246,0.422210,0.062364,0.237734,0.429788,0.543906,0.054830,0.245983,0.680925,0.543902
2,0.332039,0.416881,0.053272,0.260389,0.427801,0.542926,0.049537,0.258612,0.680920,0.542989
3,0.329216,0.414483,0.049053,0.265770,0.426341,0.541853,0.046799,0.258544,0.673009,0.541845
4,0.327628,0.412903,0.047438,0.267144,0.427334,0.543530,0.045549,0.262556,0.676281,0.543559
5,0.326572,0.411912,0.046167,0.267618,0.426270,0.542540,0.044240,0.258661,0.675280,0.542583
6,0.325659,0.411091,0.044957,0.265630,0.425269,0.541499,0.043371,0.259609,0.675639,0.541539
7,0.324617,0.410057,0.043885,0.266875,0.424579,0.540710,0.043002,0.270045,0.668275,0.540779
8,0.324194,0.409679,0.043315,0.266531,0.424410,0.540639,0.042515,0.264697,0.672404,0.540646
9,0.323400,0.408836,0.042680,0.267030,0.424465,0.540948,0.041736,0.260599,0.670135,0.541006
10,0.322821,0.408370,0.041733,0.266206,0.425361,0.542611,0.040109,0.260603,0.673392,0.542581
11,0.322117,0.407871,0.040353,0.267180,0.426935,0.544786,0.039713,0.266015,0.679246,0.544822
