loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.334315,0.301436,0.334484,195.10 M Ops,15.91 M Ops,5.83 M Ops,0.5554 M,0.3848 %,41.13 uJ,0.366533,0.375993,0.803340
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.336427,0.302936,0.336599,195.10 M Ops,16.10 M Ops,5.83 M Ops,0.5554 M,0.3864 %,41.30 uJ,0.368212,0.378012,0.802361
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.336273,0.302272,0.336437,195.10 M Ops,16.56 M Ops,5.83 M Ops,0.5554 M,0.3882 %,41.71 uJ,0.368003,0.378650,0.802795
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.334796,0.301351,0.334962,195.10 M Ops,15.47 M Ops,5.83 M Ops,0.5554 M,0.3852 %,40.73 uJ,0.366369,0.376983,0.803396
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.336742,0.305320,0.336916,195.10 M Ops,16.22 M Ops,5.83 M Ops,0.5554 M,0.3868 %,41.40 uJ,0.371218,0.378865,0.800806
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.334043,0.300554,0.334209,195.10 M Ops,16.38 M Ops,5.83 M Ops,0.5554 M,0.3871 %,41.55 uJ,0.365271,0.375722,0.803915
