epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.379007,0.374277,0.418623,0.075066,0.311013,0.323803,0.203899,0.124529,0.226686,0.323487
1,0.332819,0.361094,0.096010,0.190729,0.294225,0.322172,0.060171,0.257959,0.227129,0.321956
2,0.320675,0.352747,0.052071,0.264596,0.292611,0.320709,0.057297,0.281836,0.227216,0.320965
3,0.315421,0.347777,0.044438,0.288527,0.288574,0.318343,0.039260,0.328062,0.221286,0.318459
4,0.310267,0.343781,0.029582,0.334315,0.288267,0.318633,0.033950,0.360209,0.222950,0.318458
5,0.309103,0.342635,0.028269,0.351502,0.288339,0.318731,0.033812,0.371121,0.222691,0.318596
0,0.379007,0.374277,0.418623,0.075066,0.311013,0.323803,0.203899,0.124529,0.226686,0.323487
1,0.332819,0.361094,0.096010,0.190729,0.294225,0.322172,0.060171,0.257959,0.227129,0.321956
2,0.320675,0.352747,0.052071,0.264596,0.292611,0.320709,0.057297,0.281836,0.227216,0.320965
3,0.315421,0.347777,0.044438,0.288527,0.288574,0.318343,0.039260,0.328062,0.221286,0.318459
4,0.310267,0.343781,0.029582,0.334315,0.288267,0.318633,0.033950,0.360209,0.222950,0.318458
5,0.309103,0.342635,0.028269,0.351502,0.288339,0.318731,0.033812,0.371121,0.222691,0.318596
