epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.294026,0.420365,0.167687,0.226384,0.202366,0.363777,0.040955,0.568230,0.287861,0.363736
1,0.224278,0.412780,0.035776,0.609183,0.201326,0.362336,0.040316,0.651721,0.288562,0.362378
2,0.219956,0.409946,0.029967,0.742872,0.195280,0.361499,0.029061,0.893880,0.287671,0.361503
3,0.216578,0.408263,0.024893,0.884353,0.196394,0.363836,0.028951,0.913412,0.290426,0.363854
4,0.215922,0.407025,0.024818,0.874221,0.195936,0.362980,0.028891,0.887038,0.289124,0.362968
0,0.294026,0.420365,0.167687,0.226384,0.202366,0.363777,0.040955,0.568230,0.287861,0.363736
1,0.224278,0.412780,0.035776,0.609183,0.201326,0.362336,0.040316,0.651721,0.288562,0.362378
2,0.219956,0.409946,0.029967,0.742872,0.195280,0.361499,0.029061,0.893880,0.287671,0.361503
3,0.216578,0.408263,0.024893,0.884353,0.196394,0.363836,0.028951,0.913412,0.290426,0.363854
4,0.215922,0.407025,0.024818,0.874221,0.195936,0.362980,0.028891,0.887038,0.289124,0.362968
