epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.526077,0.487453,0.668501,0.090521,0.674031,0.707924,0.549052,0.112447,1.100795,0.702476
1,0.458764,0.461725,0.447846,0.113135,0.617587,0.682413,0.378539,0.121738,1.056768,0.682494
2,0.424376,0.453763,0.316013,0.122720,0.585518,0.669934,0.274236,0.133268,1.044083,0.675295
3,0.406728,0.450073,0.246890,0.133059,0.576219,0.665044,0.248676,0.136985,1.038147,0.671855
4,0.396556,0.447488,0.208744,0.142116,0.567953,0.668129,0.198552,0.147616,1.034953,0.670480
5,0.386631,0.445531,0.169438,0.154824,0.555089,0.660956,0.164706,0.161876,1.031670,0.668994
6,0.381225,0.443794,0.150503,0.165402,0.561584,0.670329,0.160587,0.166572,1.026770,0.665760
7,0.379405,0.442325,0.147388,0.170254,0.555885,0.666779,0.146961,0.172750,1.026613,0.666267
8,0.375673,0.441280,0.133749,0.176864,0.546492,0.658700,0.132726,0.178501,1.021817,0.664271
9,0.373053,0.440401,0.124703,0.184510,0.549878,0.664510,0.127173,0.188730,1.022471,0.663707
10,0.371371,0.439682,0.119473,0.188592,0.559201,0.677255,0.123873,0.189282,1.019792,0.662772
11,0.370122,0.439036,0.116000,0.192971,0.545878,0.661135,0.120868,0.194459,1.022134,0.663637
0,0.523056,0.487100,0.655646,0.086590,0.670082,0.706075,0.537356,0.107687,1.096910,0.700576
1,0.453293,0.462295,0.420101,0.112839,0.613811,0.678806,0.374142,0.122024,1.060414,0.682865
2,0.422553,0.454307,0.305460,0.125197,0.593477,0.678405,0.280306,0.134391,1.046272,0.675942
3,0.403996,0.450050,0.234175,0.134820,0.577236,0.672801,0.224839,0.141797,1.038574,0.671540
4,0.395156,0.447224,0.203154,0.140488,0.567805,0.665682,0.206881,0.144878,1.034155,0.669504
5,0.390476,0.445254,0.188485,0.148790,0.572970,0.678420,0.184122,0.156562,1.037690,0.671134
6,0.381984,0.443701,0.154401,0.163454,0.554090,0.663715,0.149849,0.169062,1.030408,0.667962
7,0.376876,0.442450,0.135073,0.173430,0.551896,0.665164,0.134218,0.177522,1.031657,0.668934
8,0.373719,0.441232,0.124764,0.180137,0.545154,0.658123,0.128583,0.182562,1.021621,0.665155
9,0.372837,0.440569,0.123074,0.185674,0.549373,0.664224,0.125859,0.185191,1.026395,0.666643
10,0.371828,0.439575,0.122012,0.189051,0.544369,0.658394,0.123899,0.192370,1.022047,0.665974
11,0.370247,0.439004,0.116705,0.194597,0.545927,0.662015,0.117850,0.194041,1.024458,0.666463
0,0.526755,0.490065,0.662049,0.081353,0.667905,0.699537,0.551262,0.105267,1.108152,0.705290
1,0.462452,0.463572,0.458321,0.109602,0.624040,0.681336,0.412762,0.121995,1.066234,0.685253
2,0.427735,0.454965,0.327325,0.123881,0.596776,0.683538,0.276842,0.136426,1.047559,0.676706
3,0.404037,0.450464,0.232834,0.135610,0.582085,0.679599,0.222506,0.141675,1.038732,0.672210
4,0.396537,0.447799,0.207509,0.142137,0.571409,0.669329,0.210328,0.150580,1.036037,0.670308
5,0.388018,0.445766,0.175072,0.158237,0.568324,0.675450,0.173297,0.166775,1.034659,0.669226
6,0.382155,0.444116,0.153673,0.168523,0.555908,0.666224,0.149121,0.178723,1.032694,0.668757
7,0.377960,0.442918,0.138429,0.176616,0.550306,0.660929,0.142384,0.179039,1.028299,0.667540
8,0.375382,0.441656,0.130998,0.181479,0.558692,0.674349,0.132206,0.188244,1.032890,0.667942
9,0.372371,0.440755,0.120204,0.188253,0.560578,0.679491,0.122084,0.192748,1.033542,0.668324
10,0.370497,0.439993,0.114230,0.192029,0.545583,0.662000,0.116296,0.193222,1.026774,0.665363
