h,mae,mse
1,0.22919876873493195,0.12712149322032928
2,0.27537593245506287,0.18440908193588257
3,0.3053876757621765,0.22863878309726715
4,0.3265886604785919,0.26315099000930786
5,0.34195730090141296,0.2913340926170349
6,0.34604787826538086,0.3003026247024536
7,0.3510739505290985,0.30752748250961304
8,0.35394594073295593,0.31170210242271423
9,0.3544923663139343,0.31368783116340637
10,0.35444995760917664,0.3127503991127014
11,0.3552201986312866,0.3139960467815399
12,0.3580508232116699,0.31784573197364807
13,0.3588479459285736,0.3202304542064667
14,0.3599007725715637,0.3214658200740814
15,0.3597530126571655,0.32167020440101624
16,0.3609335720539093,0.32247790694236755
17,0.3602468967437744,0.32258543372154236
18,0.35797733068466187,0.31895911693573
19,0.3581184148788452,0.3195531368255615
20,0.3584459722042084,0.3199608623981476
21,0.3588091731071472,0.3215083181858063
22,0.35805433988571167,0.3214801847934723
23,0.3580460548400879,0.3192426264286041
24,0.35787951946258545,0.320111483335495
25,0.36680591106414795,0.33538755774497986
26,0.37247589230537415,0.34629830718040466
27,0.3776043951511383,0.3538001477718353
28,0.3809402883052826,0.359622597694397
29,0.3848893642425537,0.36913883686065674
30,0.38563796877861023,0.3704896867275238
31,0.386767715215683,0.37156209349632263
32,0.38749173283576965,0.3709932267665863
33,0.38798263669013977,0.3720869719982147
34,0.38530418276786804,0.36847883462905884
35,0.38542866706848145,0.36835092306137085
36,0.3862384855747223,0.36797159910202026
37,0.38619282841682434,0.3697740435600281
38,0.38537198305130005,0.3682516813278198
39,0.38444674015045166,0.36600667238235474
40,0.38500288128852844,0.36667120456695557
41,0.38526299595832825,0.36706724762916565
42,0.3836628198623657,0.3637423813343048
43,0.3840886056423187,0.3650721311569214
44,0.3851340413093567,0.36591431498527527
45,0.38593247532844543,0.3695923984050751
46,0.3851102888584137,0.37090548872947693
47,0.3862450420856476,0.3715915083885193
48,0.3854854106903076,0.37187495827674866
49,0.3933325707912445,0.3831475079059601
50,0.39887934923171997,0.3921378254890442
51,0.4011213481426239,0.3965471088886261
52,0.40277326107025146,0.40033289790153503
53,0.40535596013069153,0.40799301862716675
54,0.40390491485595703,0.406903475522995
55,0.40516290068626404,0.40936219692230225
56,0.4061223864555359,0.4100898206233978
57,0.40653765201568604,0.4112893342971802
58,0.4053837060928345,0.4081248342990875
59,0.405990332365036,0.40963876247406006
60,0.4071033000946045,0.40974748134613037
61,0.4066106081008911,0.40977925062179565
62,0.40505677461624146,0.4076199233531952
63,0.4056605100631714,0.4086282253265381
64,0.4058355689048767,0.40906092524528503
65,0.40700817108154297,0.41133520007133484
66,0.40522485971450806,0.4082827568054199
67,0.40716856718063354,0.4128585755825043
68,0.4083593487739563,0.414625883102417
69,0.41007426381111145,0.42105019092559814
70,0.4076952636241913,0.41577136516571045
71,0.41014420986175537,0.4216216802597046
72,0.40799015760421753,0.4178822934627533
73,0.41232335567474365,0.42725324630737305
74,0.4140145480632782,0.4315449595451355
75,0.415205180644989,0.43021371960639954
76,0.4184289276599884,0.43496406078338623
77,0.41895216703414917,0.43875595927238464
78,0.41828325390815735,0.43885260820388794
79,0.42066067457199097,0.4422754645347595
80,0.4194806218147278,0.4411068260669708
81,0.42118409276008606,0.446510910987854
82,0.419825941324234,0.4437045156955719
83,0.420033723115921,0.44017693400382996
84,0.42034634947776794,0.4411773979663849
85,0.4203217029571533,0.4400732219219208
86,0.4203825294971466,0.4409198760986328
87,0.4200246036052704,0.4407971501350403
88,0.42003265023231506,0.44037240743637085
89,0.4209657907485962,0.44295546412467957
90,0.421485036611557,0.44350722432136536
91,0.4228137135505676,0.4451146423816681
92,0.42286229133605957,0.44645532965660095
93,0.4246775507926941,0.4506063163280487
94,0.423066645860672,0.4496230185031891
95,0.4224686920642853,0.4454165995121002
96,0.4223251938819885,0.4486202895641327
