h,mae,mse
1,0.16950872540473938,0.07239142060279846
2,0.19098980724811554,0.0896855890750885
3,0.20862075686454773,0.10528753697872162
4,0.21737627685070038,0.11372817307710648
5,0.2271302044391632,0.12328992784023285
6,0.234662726521492,0.13103051483631134
7,0.23848240077495575,0.13712041079998016
8,0.24363672733306885,0.1424115151166916
9,0.24817244708538055,0.14850348234176636
10,0.2507140040397644,0.15366612374782562
11,0.2538682818412781,0.15744847059249878
12,0.25647154450416565,0.16163742542266846
13,0.25990650057792664,0.16794617474079132
14,0.2614046633243561,0.17104792594909668
15,0.26487046480178833,0.176339253783226
16,0.26635250449180603,0.17916351556777954
17,0.26832351088523865,0.1833905577659607
18,0.268898069858551,0.18530414998531342
19,0.27036580443382263,0.18910545110702515
20,0.27255791425704956,0.19213786721229553
21,0.27327603101730347,0.19383540749549866
22,0.2747918367385864,0.19691099226474762
23,0.2764398455619812,0.2001255601644516
24,0.2782611846923828,0.20175844430923462
25,0.2856611907482147,0.21048709750175476
26,0.2895089089870453,0.21463710069656372
27,0.29333803057670593,0.2183029055595398
28,0.29804664850234985,0.2251339852809906
29,0.29983001947402954,0.22709698975086212
30,0.3021720051765442,0.23024603724479675
31,0.3048076927661896,0.23442476987838745
32,0.3065154254436493,0.23705562949180603
33,0.3084404468536377,0.23973992466926575
34,0.3090830147266388,0.23986874520778656
35,0.3104553520679474,0.2428731769323349
36,0.3131246268749237,0.24677090346813202
37,0.31545108556747437,0.2516050338745117
38,0.3157900869846344,0.2514770030975342
39,0.3167153000831604,0.2531304955482483
40,0.32023072242736816,0.26072028279304504
41,0.3199741840362549,0.2597365975379944
42,0.32190999388694763,0.26342976093292236
43,0.322366327047348,0.26450955867767334
44,0.32362091541290283,0.2658308446407318
45,0.32397136092185974,0.2670449912548065
46,0.3245092034339905,0.26789817214012146
47,0.3253171443939209,0.2705748677253723
48,0.32697558403015137,0.27269116044044495
49,0.32963597774505615,0.2788969874382019
50,0.33303600549697876,0.2824745774269104
51,0.3357528746128082,0.2852095365524292
52,0.3379537761211395,0.2903185188770294
53,0.33946287631988525,0.29393479228019714
54,0.3416881561279297,0.2991793155670166
55,0.3429902195930481,0.30000314116477966
56,0.34578970074653625,0.3048165440559387
57,0.3465177118778229,0.309497207403183
58,0.34684139490127563,0.31095394492149353
59,0.34802180528640747,0.3112284243106842
60,0.3489949405193329,0.31287476420402527
61,0.3500498831272125,0.3176773488521576
62,0.3503575623035431,0.3178645968437195
63,0.3509638011455536,0.3139454126358032
64,0.35241174697875977,0.31746193766593933
65,0.353393018245697,0.31836479902267456
66,0.3528068959712982,0.31840062141418457
67,0.3557722568511963,0.3215041756629944
68,0.3544919192790985,0.3213110566139221
69,0.35698771476745605,0.3234829604625702
70,0.35706737637519836,0.3244725465774536
71,0.35784733295440674,0.32646045088768005
72,0.3598273694515228,0.3296414613723755
73,0.36096203327178955,0.33258935809135437
74,0.3621581494808197,0.3319624960422516
75,0.36321964859962463,0.3324006199836731
76,0.36576807498931885,0.3359120190143585
77,0.36712130904197693,0.33757898211479187
78,0.3689134418964386,0.3397247791290283
79,0.3704303205013275,0.34091615676879883
80,0.3712978661060333,0.3416673541069031
81,0.37099751830101013,0.3437756299972534
82,0.37134629487991333,0.34348592162132263
83,0.37154507637023926,0.3432542085647583
84,0.3731939494609833,0.3467874526977539
85,0.3723960220813751,0.34599703550338745
86,0.3739793598651886,0.348079115152359
87,0.3735429644584656,0.3451797664165497
88,0.374496191740036,0.3486471176147461
89,0.37498345971107483,0.3491687476634979
90,0.37409865856170654,0.3491503894329071
91,0.37508606910705566,0.34921643137931824
92,0.3749884366989136,0.350373774766922
93,0.37471428513526917,0.35148030519485474
94,0.37479886412620544,0.3493213951587677
95,0.3763841688632965,0.35031449794769287
96,0.376484215259552,0.35010963678359985
97,0.37613898515701294,0.3525158166885376
98,0.378060519695282,0.3546500504016876
99,0.37789520621299744,0.3549613654613495
100,0.37893757224082947,0.35571667551994324
101,0.3798052668571472,0.3608011305332184
102,0.38127419352531433,0.3603305220603943
103,0.3816807270050049,0.3578571677207947
104,0.38219237327575684,0.36199653148651123
105,0.3818546533584595,0.3615908920764923
106,0.38254839181900024,0.36422985792160034
107,0.3821541965007782,0.36228248476982117
108,0.3833458423614502,0.3656257688999176
109,0.38278722763061523,0.36494389176368713
110,0.3855428695678711,0.3691321909427643
111,0.38679882884025574,0.3681187331676483
112,0.3874150216579437,0.37229594588279724
113,0.3875691592693329,0.37346601486206055
114,0.38848915696144104,0.37313276529312134
115,0.3889252245426178,0.37375250458717346
116,0.38954225182533264,0.37589552998542786
117,0.39014166593551636,0.37863701581954956
118,0.39083367586135864,0.37954050302505493
119,0.3913309872150421,0.3793388903141022
120,0.3922099173069,0.38118454813957214
121,0.394194096326828,0.3862663805484772
122,0.39636948704719543,0.3885306417942047
123,0.396928071975708,0.3890911936759949
124,0.39861246943473816,0.3929196298122406
125,0.39984625577926636,0.39534130692481995
126,0.40181097388267517,0.3981386125087738
127,0.4019443988800049,0.3984423875808716
128,0.4031859040260315,0.39996588230133057
129,0.40436848998069763,0.4037131667137146
130,0.40473672747612,0.40424424409866333
131,0.4054015874862671,0.40078917145729065
132,0.406962126493454,0.4067135155200958
133,0.4068760275840759,0.4073152244091034
134,0.4078233540058136,0.4076211452484131
135,0.40826520323753357,0.40566495060920715
136,0.4097970724105835,0.4102380871772766
137,0.4101250171661377,0.409929096698761
138,0.410707950592041,0.40978944301605225
139,0.4119432270526886,0.41357606649398804
140,0.41243281960487366,0.4128699004650116
141,0.4130904972553253,0.4139452278614044
142,0.4130326807498932,0.4124918580055237
143,0.4129890203475952,0.41223371028900146
144,0.4135517477989197,0.4150058627128601
145,0.4160842299461365,0.41852232813835144
146,0.41808608174324036,0.41925719380378723
147,0.4187659025192261,0.42098695039749146
148,0.4193534553050995,0.42274072766304016
149,0.4206697344779968,0.42456990480422974
150,0.42210131883621216,0.42580699920654297
151,0.4219863712787628,0.4259742498397827
152,0.42264387011528015,0.4285666048526764
153,0.4236876368522644,0.43083304166793823
154,0.4243640899658203,0.43023067712783813
155,0.42441821098327637,0.42888012528419495
156,0.4248436391353607,0.43237921595573425
157,0.4260175824165344,0.43495193123817444
158,0.4270874559879303,0.43529877066612244
159,0.42703258991241455,0.4342345595359802
160,0.4278266727924347,0.4355117678642273
161,0.42745327949523926,0.43536877632141113
162,0.4282011091709137,0.4355373978614807
163,0.42785489559173584,0.434954971075058
164,0.42830580472946167,0.43474820256233215
165,0.4284152388572693,0.43497735261917114
166,0.42849844694137573,0.4347441494464874
167,0.428342342376709,0.435100257396698
168,0.4281792938709259,0.4362795650959015
169,0.4302729666233063,0.437602162361145
170,0.43179115653038025,0.43914780020713806
171,0.432935893535614,0.4414519965648651
172,0.43404167890548706,0.4436943829059601
173,0.4355214834213257,0.44640466570854187
174,0.4369960129261017,0.4479067623615265
175,0.4372715950012207,0.44894540309906006
176,0.43770548701286316,0.44839608669281006
177,0.4387630820274353,0.4527224898338318
178,0.4396892786026001,0.4534794092178345
179,0.44088539481163025,0.4558383822441101
180,0.44107308983802795,0.45844659209251404
181,0.4419531524181366,0.4576003849506378
182,0.443554162979126,0.4601386487483978
183,0.4437718689441681,0.45606017112731934
184,0.44366517663002014,0.4576561450958252
185,0.44479358196258545,0.46208083629608154
186,0.4460558593273163,0.46154266595840454
187,0.4454832375049591,0.45774826407432556
188,0.4451006054878235,0.45849883556365967
189,0.44551822543144226,0.4585880637168884
190,0.446610689163208,0.4599912166595459
191,0.44568008184432983,0.45793280005455017
192,0.4460538327693939,0.45734578371047974
193,0.4471595585346222,0.46133387088775635
194,0.44746851921081543,0.45920437574386597
195,0.4482583999633789,0.46020838618278503
196,0.4491705298423767,0.46405652165412903
197,0.4496328830718994,0.46545395255088806
198,0.45082107186317444,0.465016633272171
199,0.4506940245628357,0.46634915471076965
200,0.45137372612953186,0.4673515558242798
201,0.45207205414772034,0.4690992534160614
202,0.45188701152801514,0.4656531512737274
203,0.45209431648254395,0.4669325351715088
204,0.4510467052459717,0.46454551815986633
205,0.4521786868572235,0.46992942690849304
206,0.4530297815799713,0.46979159116744995
207,0.4519462287425995,0.4677247405052185
208,0.4523405432701111,0.46764999628067017
209,0.45315200090408325,0.46920308470726013
210,0.45378291606903076,0.46881940960884094
211,0.4536867141723633,0.4703526496887207
212,0.45398154854774475,0.47109729051589966
213,0.4543139338493347,0.4701424539089203
214,0.4559553265571594,0.47272923588752747
215,0.45597463846206665,0.47272661328315735
216,0.45571404695510864,0.4704221785068512
217,0.456648588180542,0.47294339537620544
218,0.45801034569740295,0.4741080701351166
219,0.4589243531227112,0.4769883453845978
220,0.45986035466194153,0.4780764579772949
221,0.46107637882232666,0.47795289754867554
222,0.462201863527298,0.4821600914001465
223,0.46258559823036194,0.4809941351413727
224,0.4634346067905426,0.48061516880989075
225,0.46423304080963135,0.4805806279182434
226,0.46417123079299927,0.4810795485973358
227,0.46610987186431885,0.4863891303539276
228,0.4652462899684906,0.4807434380054474
229,0.466692179441452,0.48598408699035645
230,0.4673176109790802,0.48722901940345764
231,0.4679706394672394,0.4848187267780304
232,0.46851274371147156,0.48698660731315613
233,0.46935760974884033,0.490725576877594
234,0.4692835509777069,0.48972174525260925
235,0.46896958351135254,0.4901694655418396
236,0.4698586165904999,0.4908102750778198
237,0.469554603099823,0.48853614926338196
238,0.4698111116886139,0.4881918728351593
239,0.4684610068798065,0.4860077202320099
240,0.46961963176727295,0.4876536428928375
241,0.4685696065425873,0.48776164650917053
242,0.4686916768550873,0.4851193428039551
243,0.4694017767906189,0.4875287413597107
244,0.46958819031715393,0.48579877614974976
245,0.4704366624355316,0.4880829155445099
246,0.4702640771865845,0.48827463388442993
247,0.47139012813568115,0.4880674481391907
248,0.4721669554710388,0.4886847138404846
249,0.47245392203330994,0.4907492697238922
250,0.47314050793647766,0.4893527030944824
251,0.4726160764694214,0.48550644516944885
252,0.47234752774238586,0.48673442006111145
253,0.47268936038017273,0.4881327152252197
254,0.47286301851272583,0.48605892062187195
255,0.47375354170799255,0.4875069260597229
256,0.475281298160553,0.4900921881198883
257,0.4749727249145508,0.4894717335700989
258,0.4745790660381317,0.489159494638443
259,0.4746236801147461,0.48814642429351807
260,0.4750150144100189,0.4903521239757538
261,0.475382924079895,0.4889600872993469
262,0.4750635623931885,0.4878566861152649
263,0.4750397503376007,0.48639750480651855
264,0.4757729768753052,0.4883106052875519
265,0.47539275884628296,0.48621997237205505
266,0.47621941566467285,0.4885428845882416
267,0.4766313433647156,0.4868958294391632
268,0.47775447368621826,0.4904085099697113
269,0.4788973033428192,0.49319007992744446
270,0.478561133146286,0.4909246563911438
271,0.479199081659317,0.4902496635913849
272,0.47987180948257446,0.49091020226478577
273,0.4799405634403229,0.4927836060523987
274,0.4791527986526489,0.48937705159187317
275,0.4807395935058594,0.49356019496917725
276,0.4807906150817871,0.4902980327606201
277,0.4813922941684723,0.494507759809494
278,0.4822312295436859,0.4972585141658783
279,0.4814862012863159,0.4920988976955414
280,0.48368385434150696,0.49858924746513367
281,0.48415109515190125,0.49951955676078796
282,0.48441794514656067,0.49773210287094116
283,0.4843730926513672,0.4975123703479767
284,0.48543140292167664,0.5024375319480896
285,0.48457300662994385,0.5002995133399963
286,0.4841584861278534,0.49755558371543884
287,0.4853345453739166,0.5019205212593079
288,0.48605045676231384,0.5022850632667542
289,0.4848425090312958,0.5001271367073059
290,0.4850490987300873,0.4986358880996704
291,0.48603585362434387,0.49999603629112244
292,0.48751014471054077,0.5044084191322327
293,0.48890775442123413,0.5070347785949707
294,0.48856598138809204,0.5048767924308777
295,0.490104079246521,0.5087979435920715
296,0.4892253875732422,0.5051206350326538
297,0.490141898393631,0.509030818939209
298,0.4906943142414093,0.5101342797279358
299,0.4906059503555298,0.5091400146484375
300,0.49047210812568665,0.5089433193206787
301,0.49100029468536377,0.5106037855148315
302,0.49058592319488525,0.508516252040863
303,0.491619348526001,0.5084889531135559
304,0.4922737777233124,0.5115447640419006
305,0.4925294518470764,0.5122369527816772
306,0.49178215861320496,0.5105466842651367
307,0.49313393235206604,0.5120665431022644
308,0.4917548894882202,0.5109767913818359
309,0.49208128452301025,0.5087718367576599
310,0.49191784858703613,0.5087011456489563
311,0.4916510283946991,0.5105109810829163
312,0.49254539608955383,0.5107028484344482
313,0.49140140414237976,0.5106570720672607
314,0.4914150536060333,0.5097582936286926
315,0.49324241280555725,0.5122454762458801
316,0.4936358332633972,0.515160322189331
317,0.494507759809494,0.5163825750350952
318,0.4946835935115814,0.516861081123352
319,0.49424687027931213,0.5151191353797913
320,0.49547213315963745,0.518311083316803
321,0.4949917197227478,0.5177931189537048
322,0.49470916390419006,0.5177883505821228
323,0.4959072768688202,0.5197615027427673
324,0.49455809593200684,0.5159316658973694
325,0.49530959129333496,0.5189681649208069
326,0.49491962790489197,0.517302393913269
