epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.422442,0.349478,0.653495,0.076152,0.403876,0.358868,0.546398,0.089690,0.245687,0.358768
1,0.354451,0.334183,0.418631,0.096492,0.365590,0.358290,0.388706,0.103937,0.244177,0.358377
2,0.326439,0.330484,0.313628,0.104921,0.341319,0.353624,0.302355,0.113643,0.239900,0.353590
3,0.312237,0.326936,0.265689,0.109275,0.333957,0.352281,0.275934,0.115951,0.239310,0.352185
4,0.298875,0.324672,0.217186,0.115641,0.316658,0.348914,0.214511,0.127625,0.237173,0.349115
5,0.289112,0.322624,0.182989,0.121941,0.308387,0.347795,0.183595,0.134437,0.234083,0.347784
6,0.282001,0.321547,0.156770,0.128113,0.300595,0.347174,0.153094,0.140403,0.231966,0.347142
7,0.274512,0.319789,0.131136,0.133097,0.291910,0.342119,0.132916,0.148253,0.231697,0.342153
8,0.270103,0.318789,0.115931,0.136932,0.288987,0.342491,0.119557,0.149017,0.229816,0.342591
9,0.268096,0.318258,0.109249,0.139210,0.286198,0.341336,0.111594,0.149217,0.227635,0.341340
10,0.264853,0.316695,0.100686,0.141409,0.283338,0.340198,0.103279,0.155474,0.228018,0.340326
11,0.262623,0.315940,0.093786,0.144797,0.281950,0.340391,0.096887,0.156712,0.226932,0.340162
12,0.261063,0.315432,0.088892,0.145601,0.280771,0.339943,0.093391,0.158909,0.228922,0.339772
13,0.259081,0.314364,0.084020,0.147483,0.281344,0.342263,0.088434,0.159357,0.229530,0.342251
14,0.257747,0.313838,0.080127,0.148859,0.277615,0.338859,0.083675,0.161421,0.226285,0.339087
15,0.256604,0.313280,0.077131,0.150473,0.278651,0.341066,0.081003,0.164449,0.230683,0.340949
16,0.255312,0.312388,0.074570,0.152246,0.279451,0.343017,0.078162,0.166238,0.232070,0.343170
17,0.254375,0.311775,0.072610,0.154062,0.277836,0.341561,0.076041,0.166470,0.231759,0.341716
0,0.421054,0.348693,0.650197,0.077818,0.402148,0.361655,0.530374,0.094336,0.246803,0.361508
1,0.352596,0.333339,0.413576,0.098428,0.364019,0.356763,0.386997,0.106695,0.245075,0.356910
2,0.325864,0.329778,0.313471,0.105775,0.336730,0.353213,0.284535,0.119399,0.242434,0.353413
3,0.310046,0.327347,0.255258,0.111871,0.330030,0.354949,0.251120,0.123162,0.240377,0.354990
4,0.299076,0.325066,0.216776,0.117035,0.322001,0.352239,0.226249,0.122977,0.237823,0.352232
5,0.289707,0.323609,0.182351,0.122151,0.310769,0.350975,0.183448,0.129625,0.238556,0.350964
6,0.282395,0.321991,0.157010,0.126068,0.298537,0.344120,0.154190,0.135192,0.232407,0.344117
7,0.275961,0.320385,0.135285,0.129530,0.293332,0.343395,0.134800,0.140724,0.231248,0.343490
8,0.271219,0.319271,0.119054,0.133433,0.290818,0.344509,0.120796,0.141865,0.230562,0.344484
9,0.267886,0.318417,0.107873,0.136450,0.283986,0.339201,0.109138,0.149071,0.226306,0.339025
10,0.264973,0.317404,0.098942,0.139438,0.283389,0.340621,0.102156,0.151126,0.228980,0.340527
11,0.263120,0.316911,0.092783,0.142451,0.280281,0.338574,0.095685,0.155207,0.227223,0.338539
12,0.261075,0.315772,0.087868,0.144158,0.281679,0.341333,0.092772,0.155522,0.227496,0.341004
13,0.260082,0.315397,0.084920,0.146563,0.279826,0.340399,0.088015,0.155476,0.226579,0.340444
14,0.258745,0.314586,0.081917,0.148254,0.279800,0.340991,0.086029,0.158652,0.226054,0.341134
0,0.422178,0.349026,0.653828,0.078664,0.403169,0.358728,0.543897,0.093466,0.246488,0.358793
1,0.353107,0.334173,0.413067,0.100550,0.366377,0.361486,0.381864,0.109398,0.246831,0.361605
2,0.326491,0.330436,0.313997,0.108454,0.342906,0.355539,0.302900,0.116977,0.241611,0.355525
3,0.311426,0.327270,0.261256,0.111630,0.331460,0.354607,0.258161,0.119688,0.239971,0.354437
4,0.298181,0.324209,0.215757,0.118797,0.318366,0.350342,0.217106,0.130720,0.237868,0.350330
5,0.290437,0.322777,0.188026,0.124717,0.309481,0.347117,0.190301,0.137242,0.236582,0.347263
6,0.282736,0.321041,0.161436,0.129578,0.301428,0.347224,0.156405,0.139585,0.231517,0.347064
7,0.274869,0.319679,0.132970,0.133878,0.293758,0.343897,0.134984,0.145355,0.232295,0.344203
8,0.270925,0.318659,0.119768,0.136517,0.294868,0.349083,0.123190,0.148571,0.233232,0.348891
9,0.268252,0.318015,0.110669,0.140074,0.288887,0.344511,0.112744,0.150509,0.229365,0.344441
10,0.265353,0.316992,0.101832,0.143013,0.285374,0.342612,0.104120,0.159089,0.230541,0.342691
11,0.263133,0.315886,0.096084,0.146514,0.283220,0.341736,0.097920,0.160432,0.231064,0.341538
12,0.261725,0.315733,0.090698,0.147808,0.283050,0.342990,0.093238,0.158230,0.228546,0.343014
13,0.260018,0.315029,0.085818,0.149016,0.281488,0.342361,0.088723,0.162656,0.228988,0.342529
14,0.258444,0.314156,0.082025,0.150633,0.280329,0.341871,0.085443,0.163015,0.230520,0.341886
