h,mae,mse
1,0.03450484573841095,0.0037333595100790262
2,0.04461059719324112,0.005496549420058727
3,0.053477175533771515,0.007287255953997374
4,0.061407171189785004,0.009168648160994053
5,0.06859852373600006,0.010951601900160313
6,0.07558222860097885,0.012846213765442371
7,0.08129193633794785,0.014662411995232105
8,0.08615296334028244,0.01630718819797039
9,0.09103985130786896,0.01805720664560795
10,0.09554310142993927,0.019757434725761414
11,0.10016337782144547,0.02148767001926899
12,0.10471882671117783,0.02309778891503811
13,0.10903871804475784,0.024754345417022705
14,0.11340916156768799,0.026390666142106056
15,0.1173044964671135,0.027916761115193367
16,0.12085001170635223,0.02941378578543663
17,0.12445691972970963,0.03094553016126156
18,0.1276434361934662,0.03227711096405983
19,0.1308857500553131,0.033660516142845154
20,0.1335286945104599,0.03495059907436371
21,0.13649339973926544,0.036275025457143784
22,0.13953711092472076,0.03776324912905693
23,0.14218953251838684,0.038947418332099915
24,0.14532557129859924,0.040570251643657684
25,0.14788168668746948,0.04187959060072899
26,0.15024270117282867,0.0429929755628109
27,0.1527305394411087,0.04419774189591408
28,0.15542921423912048,0.0455578975379467
29,0.15786778926849365,0.04691091924905777
30,0.1604911834001541,0.048442061990499496
31,0.16324059665203094,0.049809955060482025
32,0.16550935804843903,0.05115876346826553
33,0.1678560972213745,0.05249215289950371
34,0.1697426736354828,0.05357872694730759
35,0.17213794589042664,0.055024974048137665
36,0.17381325364112854,0.056133680045604706
37,0.17624914646148682,0.057719241827726364
38,0.17799367010593414,0.05891259014606476
39,0.18079906702041626,0.0607578419148922
40,0.18317320942878723,0.06225867196917534
41,0.18548643589019775,0.06378888338804245
42,0.18767400085926056,0.06516443192958832
43,0.1903473436832428,0.06703697144985199
44,0.19264693558216095,0.06872948259115219
45,0.1954723447561264,0.07088600099086761
46,0.19794058799743652,0.0725240409374237
47,0.20009437203407288,0.07417786121368408
48,0.20214629173278809,0.0757259726524353
49,0.20480599999427795,0.07775448262691498
50,0.20688894391059875,0.07947938144207001
51,0.20896375179290771,0.08123989403247833
52,0.21114113926887512,0.08301427960395813
53,0.21330974996089935,0.08470097929239273
54,0.2155940681695938,0.08631926774978638
55,0.21779221296310425,0.08803284913301468
56,0.21983745694160461,0.08955837041139603
57,0.2219417691230774,0.09110205620527267
58,0.22412411868572235,0.09276777505874634
59,0.22612176835536957,0.09440640360116959
60,0.22809825837612152,0.09615904837846756
61,0.22996677458286285,0.09752178192138672
62,0.23213496804237366,0.09925848245620728
63,0.23410125076770782,0.10097444802522659
64,0.23631878197193146,0.1027766540646553
65,0.23826375603675842,0.1044318899512291
66,0.2408929169178009,0.1066133975982666
67,0.24305415153503418,0.10837038606405258
68,0.245525524020195,0.1105165183544159
69,0.24789077043533325,0.11250138282775879
70,0.24996232986450195,0.11413546651601791
71,0.25226446986198425,0.11638875305652618
72,0.2548002600669861,0.11875596642494202
73,0.2573015093803406,0.12095796316862106
74,0.25907909870147705,0.12255430966615677
75,0.26132312417030334,0.12475045770406723
76,0.2635110020637512,0.12702125310897827
77,0.26575443148612976,0.1290135234594345
78,0.26779255270957947,0.1309017539024353
79,0.2702590227127075,0.13269451260566711
80,0.2725435793399811,0.13452500104904175
81,0.27511560916900635,0.1367170363664627
82,0.2775512933731079,0.1387435346841812
83,0.28018221259117126,0.14095869660377502
84,0.2828056812286377,0.143204003572464
85,0.2854207754135132,0.14564888179302216
86,0.2877443730831146,0.14762666821479797
87,0.2901645004749298,0.1498413234949112
88,0.292463093996048,0.1520807445049286
89,0.29453155398368835,0.15416772663593292
90,0.2962839901447296,0.1559591293334961
91,0.2982763648033142,0.1578769087791443
92,0.30042487382888794,0.15954048931598663
93,0.3018319010734558,0.16097675263881683
94,0.3046027719974518,0.16416284441947937
95,0.30599716305732727,0.16537199914455414
96,0.3083229959011078,0.16775602102279663
