epoch,train_loss,train_ce,train_rec,train_distill,train_consol,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.707066,0.511851,0.790418,0.187311,0.000001,1.132774,0.952071,0.736534,0.173338,0.953371,0.686204
1,0.575256,0.406127,0.851314,0.160616,0.000000,1.020072,0.863343,0.822210,0.148507,0.865659,0.645383
2,0.520691,0.374817,0.894226,0.136932,0.000000,0.956352,0.819255,0.865790,0.128439,0.820413,0.625154
3,0.486826,0.358602,0.915274,0.119071,0.000000,0.919255,0.797326,0.885016,0.113079,0.797261,0.615602
4,0.461247,0.345299,0.923635,0.106712,0.000000,0.899660,0.787738,0.892534,0.102997,0.786838,0.610249
5,0.443028,0.334655,0.926150,0.099111,0.000000,0.883222,0.778600,0.895379,0.095669,0.780154,0.608262
6,0.430333,0.326474,0.925887,0.094600,0.000000,0.879729,0.778531,0.893019,0.092268,0.778572,0.607988
7,0.419940,0.318890,0.923482,0.091815,0.000000,0.877696,0.779262,0.889727,0.089537,0.780263,0.609127
8,0.411186,0.311627,0.919865,0.090361,0.000000,0.881443,0.784951,0.885129,0.087640,0.784869,0.611903
9,0.403761,0.305299,0.916046,0.089301,0.000000,0.889574,0.794577,0.881383,0.086183,0.795829,0.616729
10,0.397316,0.299306,0.911807,0.088892,0.000000,0.893340,0.798131,0.874219,0.086466,0.798902,0.619203
11,0.392955,0.295143,0.909541,0.088716,0.000000,0.895165,0.800431,0.874530,0.085988,0.801479,0.619381
12,0.392514,0.294676,0.909123,0.088748,0.000000,0.897185,0.802459,0.873946,0.085987,0.802684,0.619745
13,0.391953,0.294122,0.908489,0.088746,0.000000,0.898735,0.803852,0.873021,0.086153,0.804502,0.620265
