epoch,train_loss,train_ce,train_rec,train_distill,train_consol,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.540065,0.374864,0.723779,0.157964,0.000001,0.306085,0.168657,0.811876,0.129309,0.168127,0.282639
1,0.413904,0.296265,0.796621,0.109674,0.000001,0.274796,0.164098,0.827219,0.102425,0.164301,0.278075
2,0.378698,0.276380,0.795696,0.094361,0.000001,0.264023,0.162561,0.820814,0.093253,0.163062,0.276998
3,0.359074,0.261665,0.783830,0.089570,0.000001,0.263775,0.163770,0.808842,0.091917,0.163845,0.276897
4,0.345065,0.249081,0.772669,0.088257,0.000001,0.266116,0.165983,0.797923,0.092153,0.166519,0.278958
5,0.335099,0.239294,0.764574,0.088160,0.000001,0.268504,0.168392,0.787837,0.092233,0.168011,0.279734
6,0.326931,0.230377,0.758154,0.088972,0.000001,0.271404,0.171925,0.790694,0.091573,0.169436,0.281068
7,0.322450,0.225229,0.755055,0.089670,0.000001,0.270420,0.169558,0.781911,0.093043,0.169207,0.280840
8,0.322336,0.225148,0.754284,0.089645,0.000001,0.270531,0.168708,0.781160,0.094011,0.168851,0.280986
9,0.320887,0.223699,0.754600,0.089642,0.000001,0.268945,0.169141,0.786354,0.091941,0.169616,0.281206
