epoch,train_loss,train_ce,train_rec,train_distill,train_consol,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.829711,0.681756,0.845040,0.139505,0.000003,0.546058,0.415788,0.883923,0.121430,0.415727,0.453359
1,0.741169,0.637530,0.893885,0.094700,0.000001,0.488101,0.396334,0.907839,0.082688,0.396239,0.439089
2,0.684080,0.611510,0.900610,0.063564,0.000002,0.455403,0.384931,0.910521,0.061368,0.384821,0.429939
3,0.654001,0.593771,0.899415,0.051236,0.000003,0.438641,0.376366,0.909115,0.053183,0.376933,0.423093
4,0.637592,0.581121,0.895432,0.047517,0.000003,0.431741,0.372458,0.907050,0.050212,0.372393,0.419104
5,0.626609,0.571727,0.890034,0.045981,0.000003,0.426249,0.366853,0.897612,0.050420,0.367083,0.414952
6,0.618216,0.563825,0.886056,0.045531,0.000003,0.423355,0.365764,0.897913,0.048612,0.365856,0.413551
7,0.609691,0.555614,0.882030,0.045257,0.000003,0.423503,0.365691,0.892832,0.048884,0.365604,0.412972
8,0.601776,0.547702,0.877546,0.045298,0.000003,0.423361,0.365932,0.889568,0.048533,0.365278,0.412652
9,0.594966,0.541007,0.874704,0.045212,0.000002,0.422676,0.364261,0.883572,0.049580,0.364194,0.411613
10,0.588837,0.534565,0.871805,0.045554,0.000002,0.426210,0.366929,0.878752,0.050493,0.366877,0.412230
11,0.582199,0.527975,0.868444,0.045540,0.000002,0.421067,0.362792,0.876465,0.049510,0.362781,0.410263
12,0.575896,0.521410,0.865590,0.045830,0.000002,0.425528,0.367187,0.874941,0.049591,0.366888,0.412078
13,0.570433,0.516064,0.863738,0.045732,0.000002,0.425408,0.367322,0.872312,0.049363,0.367173,0.412020
14,0.565333,0.510800,0.862094,0.045913,0.000002,0.424854,0.366085,0.869957,0.050070,0.366216,0.411594
15,0.562777,0.508248,0.861002,0.045919,0.000002,0.424848,0.366295,0.869758,0.049856,0.366407,0.411373
16,0.560415,0.505825,0.860847,0.045981,0.000002,0.424734,0.366069,0.870242,0.049962,0.366273,0.411089
17,0.561890,0.507427,0.861064,0.045853,0.000002,0.425182,0.366549,0.869939,0.049934,0.366432,0.411157
18,0.559710,0.505239,0.860548,0.045865,0.000002,0.425206,0.366514,0.868501,0.050007,0.366775,0.411098
