epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.887204,0.667411,0.761973,0.181695,0.610253,0.400133,0.769250,0.171657,0.400052,0.441205
1,0.799313,0.609590,0.792692,0.150089,0.571673,0.383560,0.787713,0.148727,0.383416,0.427804
2,0.755048,0.578625,0.798239,0.136511,0.553000,0.374976,0.788808,0.138583,0.374857,0.420559
3,0.726696,0.558484,0.796296,0.128397,0.540235,0.369765,0.784176,0.131261,0.370315,0.416017
4,0.704182,0.543069,0.792097,0.121509,0.536277,0.372883,0.778352,0.124476,0.372757,0.416999
5,0.684519,0.529305,0.787119,0.115858,0.529996,0.372410,0.772640,0.118955,0.372677,0.416077
6,0.665605,0.515236,0.782182,0.111260,0.528348,0.375205,0.768877,0.114699,0.375348,0.416537
7,0.648332,0.501579,0.776963,0.107904,0.529055,0.379055,0.763807,0.111809,0.378962,0.418831
8,0.635151,0.491161,0.772645,0.105358,0.531800,0.384612,0.759987,0.109189,0.383761,0.421238
9,0.623962,0.482105,0.767991,0.103458,0.529490,0.384143,0.757273,0.107483,0.384140,0.421224
10,0.617705,0.476788,0.765811,0.102626,0.528844,0.383681,0.756007,0.107363,0.383547,0.421338
