epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.889278,0.668530,0.763052,0.182596,0.608696,0.397904,0.776740,0.171955,0.397808,0.439650
1,0.802574,0.609215,0.794474,0.153636,0.572697,0.380426,0.798544,0.152344,0.380282,0.425886
2,0.757824,0.575793,0.804506,0.141806,0.556809,0.372189,0.802270,0.144506,0.372063,0.419356
3,0.729327,0.553163,0.805697,0.135879,0.548482,0.368807,0.800900,0.139631,0.369348,0.415938
4,0.707251,0.535276,0.805127,0.131719,0.547888,0.371842,0.799754,0.136058,0.371729,0.416779
5,0.688555,0.520195,0.802568,0.128231,0.542428,0.370162,0.796296,0.132451,0.370455,0.415606
6,0.672698,0.507076,0.799206,0.125661,0.542687,0.371944,0.792695,0.131108,0.372123,0.415784
7,0.658711,0.495807,0.795085,0.123150,0.545644,0.378474,0.789878,0.127676,0.378364,0.418497
8,0.648197,0.487063,0.792599,0.121503,0.547393,0.381859,0.785518,0.126259,0.380917,0.421085
9,0.641210,0.481049,0.790711,0.120626,0.545921,0.380836,0.786234,0.125774,0.380853,0.420043
10,0.640563,0.480502,0.790629,0.120530,0.545793,0.380728,0.785519,0.125789,0.380588,0.419943
